"Plot","Rep","Entry","Name","Expt"
2500,2,68,"ILL 2580 AGL","Spain 2017"
2501,2,173,"PI 298121 LSP AGL","Spain 2017"
2502,2,287,"PI 432271 LSP AGL","Spain 2017"
2503,2,201,"PI 312175 LSP AGL","Spain 2017"
2504,2,127,"IPL 220 AGL","Spain 2017"
2505,2,205,"CN 105866 AGL","Spain 2017"
2506,2,152,"PI 217949 LSP AGL","Spain 2017"
2507,2,55,"ILL 11548 AGL","Spain 2017"
2508,2,268,"PI 431980 LSP AGL","Spain 2017"
2509,2,123,"ILL 9977 AGL","Spain 2017"
2510,2,295,"PI 472205 LSP AGL","Spain 2017"
2511,2,281,"PI 432188 LSP AGL","Spain 2017"
2512,2,58,"ILL 11557 AGL","Spain 2017"
2513,2,6,"CDC Glamis AGL","Spain 2017"
2514,2,164,"PI 290716 LSP AGL","Spain 2017"
2515,2,88,"ILL 5151 AGL","Spain 2017"
2516,2,15,"CDC Redcoat AGL","Spain 2017"
2517,2,124,"ILL 9997 AGL","Spain 2017"
2518,2,276,"PI 432106 LSP AGL","Spain 2017"
2519,2,116,"ILL 8174 AGL","Spain 2017"
2520,2,130,"PI 163589 AGL","Spain 2017"
2521,2,18,"CDC Rosebud AGL","Spain 2017"
2522,2,14,"CDC Red Rider AGL","Spain 2017"
2523,2,19,"CDC Rosetown AGL","Spain 2017"
2524,2,191,"PI 299289 AGL","Spain 2017"
2525,2,219,"PI 339296 AGL","Spain 2017"
2526,2,9,"CDC Impower AGL","Spain 2017"
2527,2,122,"ILL 9945 AGL","Spain 2017"
2528,2,46,"IG 1046 AGL","Spain 2017"
2529,2,97,"ILL 618 AGL","Spain 2017"
2530,2,149,"PI 211052 LSP AGL","Spain 2017"
2531,2,43,"DPL 62 AGL","Spain 2017"
2532,2,54,"ILL 11547 AGL","Spain 2017"
2533,2,41,"CN 108370 AGL","Spain 2017"
2534,2,8,"CDC Imax AGL","Spain 2017"
2535,2,279,"PI 432147 LSP AGL","Spain 2017"
2536,2,56,"ILL 11553 AGL","Spain 2017"
2537,2,216,"PI 339285 AGL","Spain 2017"
2538,2,186,"PI 299163 LSP AGL","Spain 2017"
2539,2,188,"PI 299165 AGL","Spain 2017"
2540,2,177,"PI 298644 LSP AGL","Spain 2017"
2541,2,143,"PI 193547 LSP AGL","Spain 2017"
2542,2,7,"CDC Gold AGL","Spain 2017"
2543,2,63,"ILL 1983 AGL","Spain 2017"
2544,2,114,"ILL 8010 AGL","Spain 2017"
2545,2,42,"Crimson AGL","Spain 2017"
2546,2,314,"PI 533688 LSP AGL","Spain 2017"
2547,2,260,"PI 431756 LSP AGL","Spain 2017"
2548,2,111,"ILL 7979 AGL","Spain 2017"
2549,2,101,"ILL 6821 AGL","Spain 2017"
2550,2,250,"PI 431679 LSP AGL","Spain 2017"
2551,2,32,"CN 105789 AGL","Spain 2017"
2552,2,302,"PI 472561 LSP AGL","Spain 2017"
2553,2,286,"PI 432245 LSP AGL","Spain 2017"
2554,2,323,"W6 27766 LSP AGL","Spain 2017"
2555,2,189,"PI 299177 LSP AGL","Spain 2017"
2556,2,11,"CDC LeMay AGL","Spain 2017"
2557,2,248,"PI 431662 LSP AGL","Spain 2017"
2558,2,225,"PI 370481 LSP AGL","Spain 2017"
2559,2,244,"PI 431630 LSP AGL","Spain 2017"
2560,2,78,"ILL 4609 AGL","Spain 2017"
2561,2,243,"PI 431622 LSP AGL","Spain 2017"
2562,2,171,"PI 297787 LSP AGL","Spain 2017"
2563,2,158,"PI 273664 LSP AGL","Spain 2017"
2564,2,65,"ILL 2194 AGL","Spain 2017"
2565,2,25,"CDC Vantage AGL","Spain 2017"
2566,2,145,"PI 193550 AGL","Spain 2017"
2567,2,138,"PI 179330 AGL","Spain 2017"
2568,2,262,"PI 431824 LSP AGL","Spain 2017"
2569,2,102,"ILL 6853 AGL","Spain 2017"
2570,2,298,"PI 472380 LSP AGL","Spain 2017"
2571,2,82,"ILL 4782 AGL","Spain 2017"
2572,2,30,"CN 105767 AGL","Spain 2017"
2573,2,31,"CN 105777 AGL","Spain 2017"
2574,2,51,"IG 858 AGL","Spain 2017"
2575,2,263,"PI 431863 LSP AGL","Spain 2017"
2576,2,133,"PI 177430 LSP AGL","Spain 2017"
2577,2,211,"PI 320954 LSP AGL","Spain 2017"
2578,2,182,"PI 299116 LSP AGL","Spain 2017"
2579,2,62,"ILL 1762 AGL","Spain 2017"
2580,2,21,"CDC Royale AGL","Spain 2017"
2581,2,233,"PI 420818 AGL","Spain 2017"
2582,2,23,"CDC SB-1 AGL","Spain 2017"
2583,2,137,"PI 179324 LSP AGL","Spain 2017"
2584,2,199,"PI 308614 LSP AGL","Spain 2017"
2585,2,155,"PI 250156 LSP AGL","Spain 2017"
2586,2,251,"PI 431684 LSP AGL","Spain 2017"
2587,2,299,"PI 472416 LSP AGL","Spain 2017"
2588,2,257,"PI 431731 LSP AGL","Spain 2017"
2589,2,266,"PI 431888 LSP AGL","Spain 2017"
2590,2,288,"PI 432286 LSP AGL","Spain 2017"
2591,2,273,"PI 432028 LSP AGL","Spain 2017"
2592,2,170,"PI 297783 AGL","Spain 2017"
2593,2,160,"PI 283604 LSP AGL","Spain 2017"
2594,2,315,"PI 533693 LSP AGL","Spain 2017"
2595,2,69,"ILL 28 AGL","Spain 2017"
2596,2,144,"PI 193548 LSP AGL","Spain 2017"
2597,2,162,"PI 289073 LSP AGL","Spain 2017"
2598,2,258,"PI 431739 LSP AGL","Spain 2017"
2599,2,112,"ILL 8007 AGL","Spain 2017"
2600,2,89,"ILL 5209 AGL","Spain 2017"
2601,2,59,"ILL 11558 AGL","Spain 2017"
2602,2,166,"PI 297287 AGL","Spain 2017"
2603,2,57,"ILL 11555 AGL","Spain 2017"
2604,2,194,"PI 299351 LSP AGL","Spain 2017"
2605,2,40,"CN 108369 AGL","Spain 2017"
2606,2,12,"CDC Maxim AGL","Spain 2017"
2607,2,270,"PI 432001 LSP AGL","Spain 2017"
2608,2,316,"PI 612875 AGL","Spain 2017"
2609,2,22,"CDC Ruby AGL","Spain 2017"
2610,2,317,"PI 643451 AGL","Spain 2017"
2611,2,132,"PI 175754 LSP AGL","Spain 2017"
2612,2,86,"ILL 4956 AGL","Spain 2017"
2613,2,24,"CDC Sedley AGL","Spain 2017"
2614,2,87,"ILL 5058 AGL","Spain 2017"
2615,2,204,"PI 320937 LSP AGL","Spain 2017"
2616,2,28,"CN 105715 AGL","Spain 2017"
2617,2,115,"ILL 8072 AGL","Spain 2017"
2618,2,167,"PI 297754 LSP AGL","Spain 2017"
2619,2,77,"ILL 4605 AGL","Spain 2017"
2620,2,174,"PI 298122 LSP AGL","Spain 2017"
2621,2,229,"PI 374120 LSP AGL","Spain 2017"
2622,2,195,"PI 299366 LSP AGL","Spain 2017"
2623,2,224,"PI 368651 LSP AGL","Spain 2017"
2624,2,108,"ILL 7747 AGL","Spain 2017"
2625,2,140,"PI 181886 LSP AGL","Spain 2017"
2626,2,247,"PI 431643 LSP AGL","Spain 2017"
2627,2,118,"ILL 9 AGL","Spain 2017"
2628,2,172,"PI 298023 LSP AGL","Spain 2017"
2629,2,26,"CN 105604 AGL","Spain 2017"
2630,2,272,"PI 432005 LSP AGL","Spain 2017"
2631,2,304,"PI 472588 LSP AGL","Spain 2017"
2632,2,168,"PI 297767 AGL","Spain 2017"
2633,2,81,"ILL 4768 AGL","Spain 2017"
2634,2,72,"ILL 3347 AGL","Spain 2017"
2635,2,200,"PI 311107 LSP AGL","Spain 2017"
2636,2,231,"PI 379368 LSP AGL","Spain 2017"
2637,2,321,"W6 27760 LSP AGL","Spain 2017"
2638,2,241,"PI 426807 LSP AGL","Spain 2017"
2639,2,110,"ILL 7978 AGL","Spain 2017"
2640,2,192,"PI 299312 AGL","Spain 2017"
2641,2,39,"CN 106265 AGL","Spain 2017"
2642,2,176,"PI 298631 LSP AGL","Spain 2017"
2643,2,207,"PI 320945 LSP AGL","Spain 2017"
2644,2,121,"ILL 9932 AGL","Spain 2017"
2645,2,53,"ILL 10748 AGL","Spain 2017"
2646,2,303,"PI 472569 LSP AGL","Spain 2017"
2647,2,261,"PI 431809 LSP AGL","Spain 2017"
2648,2,92,"ILL 5722 AGL","Spain 2017"
2649,3,256,"PI 431728 LSP AGL","Spain 2017"
2650,3,218,"PI 339292 LSP AGL","Spain 2017"
2651,3,86,"ILL 4956 AGL","Spain 2017"
2652,3,231,"PI 379368 LSP AGL","Spain 2017"
2653,3,174,"PI 298122 LSP AGL","Spain 2017"
2654,3,15,"CDC Redcoat AGL","Spain 2017"
2655,3,297,"PI 472327 LSP AGL","Spain 2017"
2656,3,173,"PI 298121 LSP AGL","Spain 2017"
2657,3,244,"PI 431630 LSP AGL","Spain 2017"
2658,3,74,"ILL 3597 AGL","Spain 2017"
2659,3,148,"PI 209858 LSP AGL","Spain 2017"
2660,3,215,"PI 339283 LSP AGL","Spain 2017"
2661,3,305,"PI 472590 LSP AGL","Spain 2017"
2662,3,227,"PI 374117 LSP AGL","Spain 2017"
2663,3,63,"ILL 1983 AGL","Spain 2017"
2664,3,313,"PI 518734 LSP AGL","Spain 2017"
2665,3,228,"PI 374118 AGL","Spain 2017"
2666,3,202,"PI 320935 LSP AGL","Spain 2017"
2667,3,304,"PI 472588 LSP AGL","Spain 2017"
2668,3,98,"ILL 6182 AGL","Spain 2017"
2669,3,287,"PI 432271 LSP AGL","Spain 2017"
2670,3,57,"ILL 11555 AGL","Spain 2017"
2671,3,237,"PI 426202 LSP AGL","Spain 2017"
2672,3,155,"PI 250156 LSP AGL","Spain 2017"
2673,3,273,"PI 432028 LSP AGL","Spain 2017"
2674,3,189,"PI 299177 LSP AGL","Spain 2017"
2675,3,249,"PI 431663 LSP AGL","Spain 2017"
2676,3,116,"ILL 8174 AGL","Spain 2017"
2677,3,138,"PI 179330 AGL","Spain 2017"
2678,3,321,"W6 27760 LSP AGL","Spain 2017"
2679,3,208,"PI 320946 LSP AGL","Spain 2017"
2680,3,13,"CDC QG-1 AGL","Spain 2017"
2681,3,51,"IG 858 AGL","Spain 2017"
2682,3,195,"PI 299366 LSP AGL","Spain 2017"
2683,3,35,"CN 105863 AGL","Spain 2017"
2684,3,266,"PI 431888 LSP AGL","Spain 2017"
2685,3,205,"CN 105866 AGL","Spain 2017"
2686,3,149,"PI 211052 LSP AGL","Spain 2017"
2687,3,265,"PI 431884 LSP AGL","Spain 2017"
2688,3,172,"PI 298023 LSP AGL","Spain 2017"
2689,3,64,"ILL 213 AGL","Spain 2017"
2690,3,89,"ILL 5209 AGL","Spain 2017"
2691,3,91,"ILL 5639 AGL","Spain 2017"
2692,3,113,"ILL 8009 AGL","Spain 2017"
2695,3,240,"PI 426797 LSP AGL","Spain 2017"
2696,3,39,"CN 106265 AGL","Spain 2017"
2697,3,27,"CN 105605 AGL","Spain 2017"
2698,3,212,"PI 329157 LSP AGL","Spain 2017"
2699,3,254,"PI 431714 LSP AGL","Spain 2017"
2700,3,278,"PI 432145 LSP AGL","Spain 2017"
2701,3,232,"PI 383682 LSP AGL","Spain 2017"
2702,3,85,"ILL 4875 AGL","Spain 2017"
2703,3,67,"ILL 2507 AGL","Spain 2017"
2704,3,269,"PI 432000 LSP AGL","Spain 2017"
2705,3,108,"ILL 7747 AGL","Spain 2017"
2706,3,58,"ILL 11557 AGL","Spain 2017"
2707,3,307,"PI 472629 LSP AGL","Spain 2017"
2708,3,131,"PI 169534 LSP AGL","Spain 2017"
2709,3,196,"PI 299375 LSP AGL","Spain 2017"
2710,3,188,"PI 299165 AGL","Spain 2017"
2711,3,284,"PI 432212 LSP AGL","Spain 2017"
2712,3,78,"ILL 4609 AGL","Spain 2017"
2713,3,169,"PI 297772 LSP AGL","Spain 2017"
2714,3,238,"PI 426778 LSP AGL","Spain 2017"
2715,3,49,"IG 4258 AGL","Spain 2017"
2716,3,168,"PI 297767 AGL","Spain 2017"
2717,3,171,"PI 297787 LSP AGL","Spain 2017"
2718,3,99,"ILL 6211 AGL","Spain 2017"
2719,3,29,"CN 105732 AGL","Spain 2017"
2720,3,79,"ILL 4665 AGL","Spain 2017"
2721,3,267,"PI 431923 LSP AGL","Spain 2017"
2722,3,294,"PI 472136 LSP AGL","Spain 2017"
2723,3,198,"PI 302398 LSP AGL","Spain 2017"
2724,3,127,"IPL 220 AGL","Spain 2017"
2725,3,37,"CN 105865 AGL","Spain 2017"
2726,3,264,"PI 431873 LSP AGL","Spain 2017"
2727,3,144,"PI 193548 LSP AGL","Spain 2017"
2728,3,106,"ILL 7668 AGL","Spain 2017"
2729,3,214,"PI 339266 LSP AGL","Spain 2017"
2730,3,47,"IG 1706 AGL","Spain 2017"
2731,3,182,"PI 299116 LSP AGL","Spain 2017"
2732,3,95,"ILL 5945 AGL","Spain 2017"
2733,3,10,"CDC KR-1 AGL","Spain 2017"
2734,3,125,"ILWL 118 AGL","Spain 2017"
2735,3,219,"PI 339296 AGL","Spain 2017"
2736,3,274,"PI 432033 LSP AGL","Spain 2017"
2737,3,66,"PI 431893 LSP AGL","Spain 2017"
2738,3,234,"PI 420924 LSP AGL","Spain 2017"
2739,3,118,"ILL 9 AGL","Spain 2017"
2740,3,193,"PI 299345 AGL","Spain 2017"
2741,3,68,"ILL 2580 AGL","Spain 2017"
2742,3,276,"PI 432106 LSP AGL","Spain 2017"
2743,3,246,"PI 431636 LSP AGL","Spain 2017"
2744,3,124,"ILL 9997 AGL","Spain 2017"
2745,3,83,"ILL 4783 AGL","Spain 2017"
2746,3,178,"PI 298645 AGL","Spain 2017"
2747,3,319,"Shasta AGL","Spain 2017"
2748,3,164,"PI 290716 LSP AGL","Spain 2017"
2749,3,211,"PI 320954 LSP AGL","Spain 2017"
2750,3,24,"CDC Sedley AGL","Spain 2017"
2751,3,34,"CN 105862 AGL","Spain 2017"
2752,3,12,"CDC Maxim AGL","Spain 2017"
2753,3,114,"ILL 8010 AGL","Spain 2017"
2754,3,52,"ILL 10657 AGL","Spain 2017"
2755,3,223,"PI 368647 LSP AGL","Spain 2017"
2756,3,204,"PI 320937 LSP AGL","Spain 2017"
2757,3,142,"PI 193546 AGL","Spain 2017"
2758,3,317,"PI 643451 AGL","Spain 2017"
2759,3,11,"CDC LeMay AGL","Spain 2017"
2760,3,4,"CDC Greenstar AGL","Spain 2017"
2761,3,187,"PI 299164 LSP AGL","Spain 2017"
2762,3,21,"CDC Royale AGL","Spain 2017"
2763,3,110,"ILL 7978 AGL","Spain 2017"
2764,3,251,"PI 431684 LSP AGL","Spain 2017"
2765,3,191,"PI 299289 AGL","Spain 2017"
2766,3,123,"ILL 9977 AGL","Spain 2017"
2767,3,100,"ILL 624 AGL","Spain 2017"
2768,3,242,"PI 431618 LSP AGL","Spain 2017"
2769,3,281,"PI 432188 LSP AGL","Spain 2017"
2770,3,253,"PI 431710 LSP AGL","Spain 2017"
2771,3,183,"PI 299120 LSP AGL","Spain 2017"
2772,3,102,"ILL 6853 AGL","Spain 2017"
2773,3,111,"ILL 7979 AGL","Spain 2017"
2774,3,239,"PI 426784 LSP AGL","Spain 2017"
2775,3,184,"PI 299121 LSP AGL","Spain 2017"
2776,3,299,"PI 472416 LSP AGL","Spain 2017"
2777,3,103,"ILL 7089 AGL","Spain 2017"
2778,3,101,"ILL 6821 AGL","Spain 2017"
2779,3,6,"CDC Glamis AGL","Spain 2017"
2780,3,318,"PI 643452 AGL","Spain 2017"
2781,3,241,"PI 426807 LSP AGL","Spain 2017"
2782,3,179,"PI 298921 AGL","Spain 2017"
2783,3,3,"3156-11 AGL","Spain 2017"
2784,3,33,"CN 105791 AGL","Spain 2017"
2785,3,236,"PI 420929 LSP AGL","Spain 2017"
2786,3,316,"PI 612875 AGL","Spain 2017"
2787,3,272,"PI 432005 LSP AGL","Spain 2017"
2788,3,90,"ILL 5480 AGL","Spain 2017"
2789,3,176,"PI 298631 LSP AGL","Spain 2017"
2790,3,216,"PI 339285 AGL","Spain 2017"
2791,3,220,"PI 343026 LSP AGL","Spain 2017"
2792,3,147,"PI 518731 LSP AGL","Spain 2017"
2793,3,177,"PI 298644 LSP AGL","Spain 2017"
2794,3,190,"PI 299237 LSP AGL","Spain 2017"
2795,3,112,"ILL 8007 AGL","Spain 2017"
2796,3,180,"PI 298922 LSP AGL","Spain 2017"
2797,3,320,"W6 27754 LSP AGL","Spain 2017"
2798,3,14,"CDC Red Rider AGL","Spain 2017"
2799,3,76,"ILL 4400 AGL","Spain 2017"
2800,3,130,"PI 163589 AGL","Spain 2017"
2801,3,36,"CN 105864 AGL","Spain 2017"
2802,3,310,"PI 490289 LSP AGL","Spain 2017"
2803,3,258,"PI 431739 LSP AGL","Spain 2017"
2804,3,271,"PI 432002 LSP AGL","Spain 2017"
2805,3,7,"CDC Gold AGL","Spain 2017"
2806,3,97,"ILL 618 AGL","Spain 2017"
2807,3,107,"ILL 7716 AGL","Spain 2017"
2808,3,28,"CN 105715 AGL","Spain 2017"
2809,3,250,"PI 431679 LSP AGL","Spain 2017"
2810,3,224,"PI 368651 LSP AGL","Spain 2017"
2811,3,199,"PI 308614 LSP AGL","Spain 2017"
2812,3,285,"PI 432236 LSP AGL","Spain 2017"
2813,3,71,"ILL 313 AGL","Spain 2017"
2814,3,20,"CDC Rouleau AGL","Spain 2017"
2815,3,197,"PI 300250 LSP AGL","Spain 2017"
2816,3,201,"PI 312175 LSP AGL","Spain 2017"
2817,3,194,"PI 299351 LSP AGL","Spain 2017"
2818,3,65,"ILL 2194 AGL","Spain 2017"
2819,3,45,"Gudo AGL","Spain 2017"
2820,3,72,"ILL 3347 AGL","Spain 2017"
2821,3,175,"PI 298357 LSP AGL","Spain 2017"
2822,3,263,"PI 431863 LSP AGL","Spain 2017"
2823,3,2,"CDC Rosie AGL","Spain 2017"
2824,3,306,"PI 472615 LSP AGL","Spain 2017"
2825,3,42,"Crimson AGL","Spain 2017"
2826,3,289,"PI 451763 LSP AGL","Spain 2017"
2827,3,19,"CDC Rosetown AGL","Spain 2017"
2828,3,323,"W6 27766 LSP AGL","Spain 2017"
2829,3,157,"PI 251248 LSP AGL","Spain 2017"
2830,3,221,"PI 345627 LSP AGL","Spain 2017"
2831,3,301,"PI 472559 LSP AGL","Spain 2017"
2832,3,161,"PI 289066 AGL","Spain 2017"
2833,3,152,"PI 217949 LSP AGL","Spain 2017"
2834,3,32,"CN 105789 AGL","Spain 2017"
2835,3,143,"PI 193547 LSP AGL","Spain 2017"
2836,3,132,"PI 175754 LSP AGL","Spain 2017"
2837,3,159,"PI 280686 AGL","Spain 2017"
2838,3,283,"PI 432201 LSP AGL","Spain 2017"
2839,3,69,"ILL 28 AGL","Spain 2017"
2840,3,312,"PI 518733 LSP AGL","Spain 2017"
2841,3,30,"CN 105767 AGL","Spain 2017"
2842,3,296,"PI 472213 LSP AGL","Spain 2017"
2843,3,134,"PI 178939 LSP AGL","Spain 2017"
2844,3,133,"PI 177430 LSP AGL","Spain 2017"
2845,3,233,"PI 420818 AGL","Spain 2017"
2846,3,282,"PI 432190 LSP AGL","Spain 2017"
2847,3,80,"ILL 4671 AGL","Spain 2017"
2848,3,140,"PI 181886 LSP AGL","Spain 2017"
2849,3,126,"Indianhead AGL","Spain 2017"
2850,3,129,"LIRL-22-46 AGL","Spain 2017"
2851,3,44,"Eston AGL","Spain 2017"
2852,3,308,"PI 477921 LSP AGL","Spain 2017"
2853,3,260,"PI 431756 LSP AGL","Spain 2017"
2854,3,135,"PI 178952 AGL","Spain 2017"
2855,3,43,"DPL 62 AGL","Spain 2017"
2856,3,139,"PI 181771 LSP AGL","Spain 2017"
2857,3,185,"PI 299126 LSP AGL","Spain 2017"
2858,3,38,"CN 105895 AGL","Spain 2017"
2859,3,275,"PI 432085 LSP AGL","Spain 2017"
2860,3,77,"ILL 4605 AGL","Spain 2017"
2861,3,225,"PI 370481 LSP AGL","Spain 2017"
2862,3,70,"ILL 3025 AGL","Spain 2017"
2863,3,50,"IG 4781 AGL","Spain 2017"
2864,3,291,"PI 468900 LSP AGL","Spain 2017"
2865,3,146,"PI 207492 LSP AGL","Spain 2017"
2866,3,277,"PI 432124 LSP AGL","Spain 2017"
2867,3,295,"PI 472205 LSP AGL","Spain 2017"
2868,3,230,"PI 374121 AGL","Spain 2017"
2869,3,5,"CDC Cherie AGL","Spain 2017"
2870,3,145,"PI 193550 AGL","Spain 2017"
2871,3,104,"ILL 7558 AGL","Spain 2017"
2872,3,270,"PI 432001 LSP AGL","Spain 2017"
2873,3,315,"PI 533693 LSP AGL","Spain 2017"
2874,3,23,"CDC SB-1 AGL","Spain 2017"
2875,3,128,"Laird AGL","Spain 2017"
2876,3,259,"PI 431753 LSP AGL","Spain 2017"
2877,3,203,"PI 320936 LSP AGL","Spain 2017"
2878,3,55,"ILL 11548 AGL","Spain 2017"
2879,3,314,"PI 533688 LSP AGL","Spain 2017"
2880,3,167,"PI 297754 LSP AGL","Spain 2017"
2881,3,213,"PI 329167 LSP AGL","Spain 2017"
2882,3,17,"CDC Robin AGL","Spain 2017"
2883,3,255,"PI 431717 LSP AGL","Spain 2017"
2884,3,75,"ILL 4164 AGL","Spain 2017"
2885,3,303,"PI 472569 LSP AGL","Spain 2017"
2886,3,62,"ILL 1762 AGL","Spain 2017"
2887,3,280,"PI 432184 LSP AGL","Spain 2017"
2888,3,82,"ILL 4782 AGL","Spain 2017"
2889,3,9,"CDC Impower AGL","Spain 2017"
2890,3,136,"PI 178971 LSP AGL","Spain 2017"
2891,3,96,"ILL 6002 AGL","Spain 2017"
2892,3,59,"ILL 11558 AGL","Spain 2017"
2893,3,93,"ILL 5883 AGL","Spain 2017"
2894,3,257,"PI 431731 LSP AGL","Spain 2017"
2895,3,162,"PI 289073 LSP AGL","Spain 2017"
2896,3,94,"ILL 5888 AGL","Spain 2017"
2897,3,300,"PI 472488 LSP AGL","Spain 2017"
2898,3,56,"ILL 11553 AGL","Spain 2017"
2899,3,268,"PI 431980 LSP AGL","Spain 2017"
2900,3,137,"PI 179324 LSP AGL","Spain 2017"
2901,3,209,"PI 320952 LSP AGL","Spain 2017"
2902,3,84,"ILL 4804 AGL","Spain 2017"
2903,3,252,"PI 431705 LSP AGL","Spain 2017"
2904,3,16,"CDC Redwing AGL","Spain 2017"
2905,3,151,"PI 212610 LSP AGL","Spain 2017"
2906,3,87,"ILL 5058 AGL","Spain 2017"
2907,3,31,"CN 105777 AGL","Spain 2017"
2908,3,302,"PI 472561 LSP AGL","Spain 2017"
2909,3,8,"CDC Imax AGL","Spain 2017"
2910,3,226,"PI 374116 LSP AGL","Spain 2017"
2911,3,92,"ILL 5722 AGL","Spain 2017"
2912,3,1,"CDC Asterix AGL","Spain 2017"
2913,3,150,"PI 212100 LSP AGL","Spain 2017"
2914,3,25,"CDC Vantage AGL","Spain 2017"
2915,3,156,"PI 250158 LSP AGL","Spain 2017"
2916,3,122,"ILL 9945 AGL","Spain 2017"
2917,3,181,"PI 298923 LSP AGL","Spain 2017"
2918,3,288,"PI 432286 LSP AGL","Spain 2017"
2919,3,105,"ILL 7663 AGL","Spain 2017"
2920,3,88,"ILL 5151 AGL","Spain 2017"
2921,3,160,"PI 283604 LSP AGL","Spain 2017"
2922,3,186,"PI 299163 LSP AGL","Spain 2017"
2923,3,311,"PI 508090 AGL","Spain 2017"
2924,3,243,"PI 431622 LSP AGL","Spain 2017"
2925,3,48,"IG 1959 AGL","Spain 2017"
2926,3,121,"ILL 9932 AGL","Spain 2017"
2927,3,153,"PI 238758 LSP AGL","Spain 2017"
2928,3,81,"ILL 4768 AGL","Spain 2017"
2929,3,163,"PI 289079 LSP AGL","Spain 2017"
2930,3,207,"PI 320945 LSP AGL","Spain 2017"
2931,3,247,"PI 431643 LSP AGL","Spain 2017"
2932,3,322,"W6 27763 LSP AGL","Spain 2017"
2933,3,53,"ILL 10748 AGL","Spain 2017"
2934,3,141,"PI 182217 LSP AGL","Spain 2017"
2935,3,22,"CDC Ruby AGL","Spain 2017"
2936,3,119,"ILL 975 AGL","Spain 2017"
2937,3,60,"ILL 1220 AGL","Spain 2017"
2938,3,210,"PI 320953 LSP AGL","Spain 2017"
2939,3,154,"PI 244046 AGL","Spain 2017"
2940,3,200,"PI 311107 LSP AGL","Spain 2017"
2941,3,26,"CN 105604 AGL","Spain 2017"
2942,3,109,"ILL 7946 AGL","Spain 2017"
2943,3,262,"PI 431824 LSP AGL","Spain 2017"
2944,3,217,"PI 339289 LSP AGL","Spain 2017"
2945,3,290,"PI 458503 LSP AGL","Spain 2017"
2946,3,235,"PI 420925 LSP AGL","Spain 2017"
2947,3,18,"CDC Rosebud AGL","Spain 2017"
2948,3,166,"PI 297287 AGL","Spain 2017"
2949,3,115,"ILL 8072 AGL","Spain 2017"
2950,3,40,"CN 108369 AGL","Spain 2017"
2951,3,222,"PI 358602 LSP AGL","Spain 2017"
2952,3,324,"W6 27767 LSP AGL","Spain 2017"
2953,3,279,"PI 432147 LSP AGL","Spain 2017"
2954,3,248,"PI 431662 LSP AGL","Spain 2017"
2955,3,117,"ILL 8595 AGL","Spain 2017"
2956,3,41,"CN 108370 AGL","Spain 2017"
2957,3,261,"PI 431809 LSP AGL","Spain 2017"
2958,3,158,"PI 273664 LSP AGL","Spain 2017"
2959,3,286,"PI 432245 LSP AGL","Spain 2017"
2960,3,61,"ILL 1553 AGL","Spain 2017"
2961,3,73,"ILL 358 AGL","Spain 2017"
2962,3,192,"PI 299312 AGL","Spain 2017"
2963,3,206,"PI 320941 LSP AGL","Spain 2017"
2964,3,292,"PI 468901 AGL","Spain 2017"
2965,3,229,"PI 374120 LSP AGL","Spain 2017"
2966,3,165,"PI 297285 LSP AGL","Spain 2017"
2967,3,170,"PI 297783 AGL","Spain 2017"
2968,3,120,"ILL 9888 AGL","Spain 2017"
2969,3,298,"PI 472380 LSP AGL","Spain 2017"
2970,3,293,"PI 468902 LSP AGL","Spain 2017"
2971,3,46,"IG 1046 AGL","Spain 2017"
2972,3,245,"PI 431633 LSP AGL","Spain 2017"
2693,3,54,"ILL 11547 AGL","Spain 2017"
2694,3,309,"PI 490288 LSP AGL","Spain 2017"
