"Name","a.25_Ro17","a.50_Ro17","a.75_Ro17","a.max_Ro17","a.mean_Ro17","a.min_Ro17","a.std_Ro17","area.mm.2._Ro17","b.25_Ro17","b.50_Ro17","b.75_Ro17","b.max_Ro17","b.mean_Ro17","b.min_Ro17","b.std_Ro17","circularity.4.pi.area..perimeter.2.._Ro17","cluster.distance_Ro17","dark.cluster.a_Ro17","dark.cluster.b_Ro17","dark.cluster.l_Ro17","dark.cluster.proportion_Ro17","equivalent.diameter.mm._Ro17","height.mm._Ro17","l.25_Ro17","l.50_Ro17","l.75_Ro17","l.max_Ro17","l.mean_Ro17","l.min_Ro17","l.std_Ro17","light.cluster.a_Ro17","light.cluster.b_Ro17","light.cluster.l_Ro17","light.cluster.proportion_Ro17","major.axis.length.mm._Ro17","minor.axis.length.mm._Ro17","num.pixels.per.component_Ro17","perimeter.mm._Ro17","roundness.4.area..pi.major.axis.2._Ro17","sphericity.pi..1.3...6.volume...2.3....surface.area._Ro17","surface.area.mm.2._Ro17","volume.mm.3._Ro17"
"X3156.11_AGL",10.5982431384124,12.0491196545659,13.5682282296484,25.2449926909829,12.1158414033552,0.9429900606914,2.30343487703993,17.8330630066165,19.927464431677,22.0432936758743,24.2722969464877,40.8646638516865,22.1307133466892,3.95949996750936,3.45763799782255,0.824676116770532,3.19393693006237,12.3524996023034,22.3354984131678,46.8982700625496,0.758057296925966,4.75082923878235,2.12378453904135,45.8510552433351,47.3479163958001,48.9270692645283,66.5075388995554,47.5240772564063,35.719747216161,2.76150359402621,12.1903203213421,21.9407200412263,49.6173919824051,0.241942703074034,4.88653352229463,4.62195148349593,201822.804511278,16.4348893268042,0.945250597681432,0.878205679087726,47.2011441258888,25.3075573183929
"CDC_Asterix_AGL",5.78845849998506,7.28645536889231,9.01163966224246,22.9160567239356,7.51200060642927,-1.68988660549188,2.48996190649548,14.2341311806642,26.5048637978724,28.8482569354202,31.0067757735677,45.0028744344134,28.544317657889,4.97388277537786,3.8576354525603,0.788744211722382,4.11301199308911,8.4740162558301,26.9975615446627,52.7385916570605,0.53178129522893,4.2473690271723,1.7912687747048,52.3787551987058,53.7236009041517,54.8544615023575,68.2892086093404,53.6056037492266,42.3949615218991,2.2506444683354,8.17761176184527,27.3875397606642,54.7419254941678,0.46821870477107,4.3482022476983,4.15404615850565,161092.47601476,15.0710753257727,0.954455263623625,0.83142824599836,37.3794108438515,17.1748750457275
"CDC_Cherie_AGL",7.29689718014491,8.68395013419126,10.2267835251663,23.5920695395953,8.8603184141827,-1.62980410813756,2.31505944944189,18.696611849697,14.6813920568168,16.4467204742944,18.4138915191759,35.6197057873604,16.6775700317163,2.72334495765442,3.05864132133701,0.811269220186604,4.51297744988334,8.69409537184177,16.5000362037745,47.5964508322051,0.835539984096328,4.87116712280821,2.1983804750505,46.5792472277863,47.7804764364536,49.1448335180074,69.0396525588081,48.1235891923443,37.1154693106409,2.68868156745624,10.3779162248826,18.318280350073,51.314913636971,0.164460015903672,4.99530075094723,4.7542975362726,211595.878787879,16.993199178436,0.951055567416656,0.860816668400872,49.9553161945277,27.4779632538968
"CDC_Glamis_AGL",6.54955564160068,8.11134799135533,9.99958461007885,24.7581265753801,8.41000462123513,-1.21411573748362,2.6500868843454,25.0279905856631,29.3790126746294,31.7107913795692,34.0022288056603,48.9549073591311,31.5225091576702,5.67527664151152,3.99060332103652,0.809292094725418,4.29679296014878,10.1609907190959,29.8952450582146,52.6760525293065,0.358789078426507,5.62397367470992,2.20268189897849,52.9719958842196,54.6923298059639,56.0124601921322,67.9336911193718,54.3676528260292,39.8749779570053,2.58350605841103,7.90796415746687,31.6580893546105,55.3567379483473,0.641210921573493,5.74996869138224,5.50480806983518,283250.23297491,19.6536660421874,0.957133958511849,0.83689120207109,63.4960355388043,37.2262890532279
"CDC_Gold_AGL",0.018927177745734,1.28284509275323,2.62159498190121,11.3862669774525,1.35949448670476,-6.72084403411168,1.95506713562649,18.0927478183851,29.8145877196595,32.2055752411724,34.5044418399588,48.6646435277837,32.0066067724958,5.96818263419975,3.91808702466364,0.582778933775035,3.08836110703914,1.32728560016757,32.465971962081,65.3486404672838,0.667946388199597,4.78361261974194,2.64762998184783,64.6913213527577,66.0636562848035,67.4682512305371,77.0602790166021,66.1442291344901,52.7860311777454,2.24574618613954,2.00130018262146,30.2004882158749,67.6408218299148,0.332053611800403,4.96577950514048,4.6135697898463,204761.745341615,19.740444536574,0.928852355500174,0.901612694700479,52.6503694986829,32.5170925710201
"CDC_Greenstar_AGL",4.6893673150219,6.12388387164155,7.94512000590802,24.2686539197905,6.51165081053164,-2.71336558818621,2.66068982629616,31.0388029348416,28.791344967025,30.8489159593871,32.8974285938433,48.2161629567131,30.6858750164287,5.23292530211005,3.64380524358344,0.808128036727982,4.09778807406306,8.69833071527598,29.3835944440145,55.4245469060267,0.327529326994524,6.27578151645706,2.56944769764706,55.753188310752,57.1069030603356,58.2053099114037,70.2158699455676,56.8429165637018,41.7984216797588,2.32178921325654,6.08732527187002,30.9341505145333,57.5588459309785,0.672470673005476,6.39514691541361,6.16204098332347,351276.628959276,21.9438072889333,0.963181214580321,0.844041610334548,79.9359292194094,53.1771443450116
"CDC_Imax_AGL",8.9706252388707,10.4392818590896,12.1140303528903,26.4653999518897,10.6464237917057,0.26444635858972,2.46389444296358,20.9630053862548,17.4589411997936,19.5120632480236,21.8013983942567,40.668706183171,19.7491640072361,3.45158598416001,3.47431060341543,0.831759431856658,3.89149721652868,10.5392964032054,19.5843780487269,47.3822112859658,0.795008012401638,5.15699449382051,2.26348294436293,46.3281454460123,47.5975815045361,48.9311737565152,66.8166230509575,47.7896959663919,35.5563660808966,2.51910165397778,11.7935719919522,20.73138738623,50.3287138481778,0.204991987598362,5.28124397091178,5.03997422554982,237245.420849421,17.7638488037408,0.953953911022911,0.869575337032902,55.2113835066313,31.6734186894489
"CDC_Impower_AGL",4.40214831725906,5.82208847652589,7.44880027420646,20.9349047322594,6.04009984673849,-3.21394020898198,2.38251635072911,28.0926538089076,28.1026219759177,30.5588456322228,32.8540305584573,46.6345694867368,30.2599121353464,4.69146185748984,3.98376237312291,0.773184726671804,4.38080978883741,7.51776315656568,27.4420820290815,53.985273263704,0.314186405015075,5.97057809028887,2.64686159804622,54.635598600474,56.223109327003,57.4520704143329,68.8157510320745,55.8742510145085,41.0188990903601,2.4897357880207,5.89277189291863,30.8081370382249,56.6444974889713,0.685813594984925,6.08414900424124,5.8625586447201,317934.06302521,21.3893489582136,0.963039386764774,0.866419550774758,74.4074463614285,49.8471530131939
"CDC_KR.1_AGL",8.27428947557504,9.72333207182727,11.3927523991797,25.9914589578702,9.95847099418691,-0.789988780219236,2.48133754050938,24.6097295249778,17.8061854741864,19.757663161814,21.9800144187941,39.6328806793667,20.024568386496,3.4530004011525,3.37406440325705,0.829248087976249,3.66480323112474,9.77086355193717,19.7510681628952,47.9487400488276,0.749247846978714,5.58533748815295,2.29928744586667,46.8514736217407,48.1960929887917,49.6855579244141,67.7232158549413,48.4398943428066,35.7642726331718,2.61877687093781,11.2599938020424,21.4263226080876,50.3804963184251,0.250752153021286,5.71468320210322,5.46329470070922,278516.631111111,19.2695686213988,0.955564228578264,0.844179559318148,63.5504451713964,37.9483778275744
"CDC_LeMay_AGL",-0.873575146565967,1.13857422468795,3.10886083306918,16.462179598468,1.12694824391849,-14.1259825289331,3.04896983388012,16.6390060663333,10.165735777991,15.1684511657792,18.8622341420059,34.6832068668762,14.0981079599962,-13.6537486253413,6.6061405366444,0.568150393729886,13.1257832403916,-0.0125024740356377,6.26493154904608,28.1330240298797,0.280696600783397,4.59371756543619,1.55831503683333,33.0468039766935,38.4891715420881,42.6857754814067,69.6655466383156,37.2102614855888,-0.756317381349284,8.50376920558474,1.58297346149711,17.1910827297328,41.0131205002445,0.719303399216603,4.73860803549595,4.46004356821852,188309.258333333,19.4310308911612,0.939915246589753,0.726148198650253,41.3797534531514,17.2704244632914
"CDC_Maxim_AGL",7.93324875152632,9.25541465461058,10.7072591533828,23.5857094411799,9.40777341395761,-0.640681259075686,2.21034637209254,18.7962837404317,16.8526511005778,18.6589421176833,20.6529564126904,37.8020912427755,18.8550506252508,3.18269065015907,3.12911019230464,0.815650390717244,3.58426076637791,9.49972032874764,18.9692441636982,48.3034443613009,0.769682439069512,4.88706508179504,2.28509706178058,47.3553542424121,48.5083967597079,49.7233096316877,67.2938674261625,48.702234781765,36.8905650282892,2.39014935103069,10.2885358628949,19.5810613961512,51.0519189057185,0.230317560930488,5.02527699028099,4.75647307724973,212723.899280576,17.0032754691882,0.946109497017018,0.881876856273919,50.7456584148913,28.6751743674338
"CDC_QG.1_AGL",-2.60482050752201,-0.768879616615592,1.55172585309642,14.0411917793073,-0.427039107980054,-10.9162797330401,2.98041898477501,21.1418104178571,21.6548908705089,23.5121066263083,25.4403689617616,39.5671639804675,23.5053615158742,4.30238622676601,3.12392640504874,0.685163040550929,4.80470745011321,0.591980905751478,23.7220788393355,48.7646630072582,0.629545031195784,5.17756818775748,2.11505563814732,47.9843117515549,49.2691184487068,50.477238199003,68.9303086114457,49.2924342177146,38.3038038666923,2.35326994822462,0.729739894432972,22.7320901486495,50.6670480203066,0.370454968804216,5.30310524549219,5.0596037382332,239269.017857143,19.723984240532,0.953298811083694,0.827538644548635,54.6542316436201,30.0057373551924
