"Name","Seed.Size_LDP","Cotyledon.Color_LDP","Seed.Area_LDP","Seed.Perimeter_LDP","Seed.Diameter_LDP","Minor.Axis_LDP","Major.Axis_LDP","Seed.Mass.1000.2015_LDP","Seed.Mass.1000.2016_LDP","Seed.Mass.1000.2017_LDP","Seed.Mass.1000.2018_LDP","Plumpness.2015_LDP","Plumpness.2016_LDP","Plumpness.2017_LDP","Plumpness.2018_LDP","Testa.Color.Green_LDP","Testa.Color.Grey_LDP","Testa.Color.Tan_LDP","Testa.Color.Brown_LDP","Testa.Color.Green.v.Grey_LDP","Testa.Color.Green.v.Tan_LDP","Testa.Color.Green.v.Brown_LDP","Testa.Color.Grey.v.Tan_LDP","Testa.Color.black_LDP","Testa.Pattern.All_LDP","Testa.Pattern.Present_LDP","Testa.Pattern.Mottle_LDP","Testa.Pattern.Mottle.v.Present_LDP","Testa.Pattern.Dotted_LDP","Testa.Pattern.Marbled_LDP","Testa.Pattern.Spotted_LDP","Testa.Pattern.Mottle123_LDP"
"PI_339296_AGL","2","0",0.157,1.4,0.447,0.427,0.483,25.2,33.6,31.7,37.7245508982036,56.3356616732969,75.2678450341305,71.0288156307114,84.4159517861343,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"PI_343026_LSP_AGL","1","0",0.104,1.14,0.364,0.35,0.391,22.3,23.5,23.1,30.647619047619,61.4067279708081,64.4925622017864,63.4706221445963,84.2481891962649,"0","0","1","1",NA,"1",NA,"1","0","1","1",NA,"1","1",NA,NA,NA
"PI_345627_LSP_AGL","4","1",0.285,1.89,0.603,0.583,0.631,45.7,33.8,50.2,58.0237154150198,75.7882173523853,56.130728562947,83.3472978634269,96.2605417023369,"1","0","0","0","0","0","0",NA,"0","1","1",NA,"1",NA,NA,"1",NA
"PI_358602_LSP_AGL","1","0",0.11,1.18,0.374,0.355,0.412,22.5,21.3,20.1,25.5495772482706,60.2078207334974,56.8498986397157,53.7025228307087,68.2332923544318,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"3"
"PI_368647_LSP_AGL","2","1",0.127,1.26,0.402,0.387,0.429,25.3,23.5,25.6,27.1799628942486,63.0297299128593,58.5514004507235,63.6242142661443,67.6305407929879,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"3"
"PI_368651_LSP_AGL","1","0",0.107,1.16,0.368,0.356,0.398,22.1,20.2,21.5,25.4582210242588,60.1086300543151,54.9939649969825,58.3473927786688,69.1381983157299,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"3"
"PI_370481_LSP_AGL","4","1",0.303,1.95,0.62,0.604,0.643,64.7,65.3,54.4,64.4827586206897,104.258983378914,105.296909236474,87.6973558172853,103.929947633633,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_374116_LSP_AGL","2","1",0.159,1.41,0.449,0.426,0.484,27.5,31.1,30.6,38.0340264650284,61.2081267211058,69.1843624891612,68.150628266646,84.6245335439445,"1","0","0","0",NA,NA,NA,NA,"0","1","1",NA,"1",NA,"1",NA,NA
"PI_374117_LSP_AGL","3","1",0.244,1.75,0.557,0.529,0.593,35.3,34.4,34.7,42.6582278481013,63.2460639518238,61.6204903328683,62.2702324292528,76.5246263968331,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_374118_AGL","2","0",0.141,1.33,0.424,0.397,0.466,30.9,33.5,37.6,41.2892376681614,72.9994546696616,79.010524347293,88.7098018640823,97.4824603917766,"0","1","1","1",NA,NA,"1",NA,"0","1","1",NA,"1",NA,NA,"1",NA
"PI_374120_LSP_AGL","3",NA,0.246,1.75,0.558,0.539,0.585,45.5,42.1,49.4,53.5649546827795,81.4320665618632,75.3623059531776,88.4414270614778,95.9181440797882,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_374121_AGL","3","1",0.244,1.75,0.557,0.54,0.584,50.2,52.9,55.3,59.1067538126362,90.0811994599966,94.8076539764801,99.1523556749159,106.031649255277,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_379368_LSP_AGL","2","1",0.137,1.31,0.418,0.406,0.437,51.1,50.2,56.7,63.1578947368421,122.497293130976,120.127217284883,135.886638094165,151.256267331447,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_383682_LSP_AGL","1","0",0.117,1.21,0.386,0.369,0.416,20,22.6,20,29.8729792147806,51.8619859890163,58.6387588251699,51.8134715025907,77.3911378621259,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"PI_420818_AGL","4","1",0.295,1.92,0.613,0.591,0.643,54,57.8,55.5,70.8367346938775,88.1612933669695,94.3307180970031,90.5685376067634,115.641322736241,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_420924_LSP_AGL","3","1",0.249,1.77,0.563,0.544,0.591,56.5,50.4,55.3,65.1449275362319,100.239765953235,89.3786982248521,98.1405588859991,115.641883200412,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_420925_LSP_AGL","2","0",0.129,1.27,0.405,0.38,0.457,22.6,29.2,32.6,36.1868686868687,55.8790437944516,72.3015655039823,80.4857952452086,89.4484532221417,"0","1","1","1",NA,NA,"1",NA,"0","1","1",NA,"1","1",NA,NA,NA
"PI_420929_LSP_AGL","2","0",0.157,1.4,0.446,0.429,0.479,29.8,33.6,30.9,39.523178807947,66.7713103351394,75.3586697534515,69.3550835383124,88.6611688114464,"0","0","1","1",NA,"1",NA,"1","0","1","1",NA,"1",NA,NA,"1",NA
"PI_426202_LSP_AGL","2","0",0.139,1.32,0.42,0.401,0.45,22.9,25.8,22.9,30.3174603174603,54.5075456711675,61.3932626267345,54.5279165608359,72.2417640606679,"0","1","1","1",NA,NA,"1",NA,"0","1","1",NA,"1",NA,"1",NA,NA
"PI_426778_LSP_AGL","1","1",0.122,1.24,0.395,0.38,0.419,23.9,24.3,23.6,26.9330855018587,60.5944022314129,61.5709459459459,59.7930566549813,68.2426152918717,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_426784_LSP_AGL","1","0",0.081,1.01,0.321,0.292,0.372,24.1,23.6,23.4,24.281045751634,74.9428402066221,73.4439834024897,72.8447480551134,75.5634203889025,"0","1","0","1","1",NA,NA,"0","0","1","1",NA,"1","1",NA,NA,NA
"PI_426797_LSP_AGL","1","0",0.094,1.09,0.346,0.325,0.381,23,22.8,23.7,24.2836468885673,66.4151920485374,65.9114211108474,68.3535126699841,70.0939134051013,"0","1","0","1","1",NA,NA,"0","0","1","1",NA,"1","1","1",NA,NA
"PI_426807_LSP_AGL","1","0",0.116,1.2,0.384,0.354,0.432,22.8,23.8,21.3,24.1708043694141,59.4127858641291,61.9206257242178,55.5190572752855,63.0177402447064,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431618_LSP_AGL","3","1",0.224,1.68,0.533,0.509,0.579,51.5,61.5,55.9,58.8577154308617,96.5966112431812,115.240119405918,104.84440909714,110.335229926631,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431622_LSP_AGL","2","1",0.152,1.38,0.439,0.415,0.486,36.7,31.7,37.4,39.7293640054127,83.5961166901224,72.0724246848251,85.2104422933182,90.4081608214197,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431630_LSP_AGL","1","0",0.118,1.22,0.388,0.359,0.444,28.6,25.5,24.2,27.9039301310044,73.7573894434016,65.7269620657034,62.4604555520404,71.9998197187612,"0","0","1","1",NA,"1",NA,"1","0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431633_LSP_AGL","4","1",0.318,2,0.637,0.62,0.658,59.6,58.8,75.9,71.1682242990654,93.7017435506321,92.2975450890014,119.163350103022,111.802062958909,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431636_LSP_AGL","3","1",0.282,1.88,0.599,0.582,0.63,53.5,47.2,61.5,61.5192307692308,89.3549992408779,78.9107441083689,102.745882533978,102.741339195227,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_431643_LSP_AGL","2","1",0.148,1.36,0.433,0.412,0.469,23.4,25.9,29.3,30.5394736842105,54.0581220058842,59.8435738680823,67.7075413083999,70.4576424398603,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431662_LSP_AGL","1","0",0.112,1.19,0.378,0.355,0.416,27.3,28.8,27.1,32.4047306176084,72.0509055310818,75.9911894273128,71.5812717902358,85.6512703549122,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431663_LSP_AGL","2","1",0.136,1.31,0.416,0.385,0.468,37.7,33.8,32.3,36.7042253521127,90.5857730135816,81.4044320190766,77.704230563664,88.2784682439909,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431679_LSP_AGL","2","0",0.133,1.29,0.412,0.377,0.464,22,26.4,24.3,30.9638554216867,53.5221104091933,64.0620056944005,59.1254034895676,75.1955474352889,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431684_LSP_AGL","1","0",0.108,1.16,0.37,0.361,0.393,24.5,24.6,25.6,31.2709030100334,66.397383143439,66.4311485267588,69.3839270709868,84.6175968401385,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431705_LSP_AGL","2","1",0.162,1.43,0.454,0.436,0.49,33.1,32,36.3,39.1747572815534,72.9447027159286,70.4673354538782,79.8918172603027,86.2668988338587,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431710_LSP_AGL","2","1",0.151,1.38,0.439,0.417,0.474,30.7,26.4,33.2,37.8398058252427,69.9425100336262,60.1366742596811,75.5620359261263,86.1954574606896,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431714_LSP_AGL","2","1",0.154,1.39,0.442,0.427,0.476,30.7,35.6,30.6,33.3516483516484,69.4093910019462,80.521921357524,69.0681225718058,75.3993557309308,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431717_LSP_AGL","2","1",0.147,1.36,0.433,0.409,0.474,29.3,31,29.5,33.1616341030195,67.760501483481,71.4652202594737,68.0955925393304,76.5661126031749,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431728_LSP_AGL","2","1",0.159,1.41,0.45,0.43,0.483,27.3,29.5,27.7,32.129246064623,60.5720460356865,65.5393729943224,61.6132855708043,71.3806997239219,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_431731_LSP_AGL","2","1",0.149,1.37,0.435,0.412,0.473,28.2,30.4,29.4,33.557703025034,64.8588327195626,70,67.520734461727,77.1441448851356,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431739_LSP_AGL","2","1",0.141,1.33,0.424,0.404,0.461,28.2,30.1,29.3,34.665532372168,66.4172630665799,71.0965272080941,69.19789847396,81.7583310664339,"1","0","0","0","0","0","0",NA,"0","1","1",NA,"1","1",NA,NA,NA
"PI_431753_LSP_AGL","2","1",0.172,1.47,0.468,0.448,0.503,29.8,41.8,31.8,36.3513262500929,63.6521205082337,89.2950391644909,67.8782479573525,77.6553373488811,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431756_LSP_AGL","2","1",0.149,1.37,0.435,0.415,0.476,27.1,33.2,34.3,34.5722300140252,62.3073499596156,76.3413387838528,78.9447434919257,79.4966965064454,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
