"Name","a.25_Sp17","a.50_Sp17","a.75_Sp17","a.max_Sp17","a.mean_Sp17","a.min_Sp17","a.std_Sp17","area.mm.2._Sp17","b.25_Sp17","b.50_Sp17","b.75_Sp17","b.max_Sp17","b.mean_Sp17","b.min_Sp17","b.std_Sp17","circularity.4.pi.area..perimeter.2.._Sp17","cluster.distance_Sp17","dark.cluster.a_Sp17","dark.cluster.b_Sp17","dark.cluster.l_Sp17","dark.cluster.proportion_Sp17","equivalent.diameter.mm._Sp17","height.mm._Sp17","l.25_Sp17","l.50_Sp17","l.75_Sp17","l.max_Sp17","l.mean_Sp17","l.min_Sp17","l.std_Sp17","light.cluster.a_Sp17","light.cluster.b_Sp17","light.cluster.l_Sp17","light.cluster.proportion_Sp17","major.axis.length.mm._Sp17","minor.axis.length.mm._Sp17","num.pixels.per.component_Sp17","perimeter.mm._Sp17","roundness.4.area..pi.major.axis.2._Sp17","sphericity.pi..1.3...6.volume...2.3....surface.area._Sp17","surface.area.mm.2._Sp17","volume.mm.3._Sp17"
"X3156.11_AGL",12.2600509626604,13.7623292024315,15.4610482707814,27.7909056045996,13.9506835332469,3.08479303403647,2.5458185980695,17.4261765568489,19.4367993527326,21.5525435693462,23.8465098172614,39.8776129696803,21.6673866060141,3.89605084693928,3.55286680013355,0.808154330331217,2.80427926376344,14.575025445942,22.261408842469,48.7652024960299,0.5272373307342,4.69921723913201,2.15735153900322,47.9224926321315,49.5265531863067,51.1861147491811,67.2718172019258,49.598020761813,36.9665990134051,2.80106731549106,13.8807802452599,21.3145055292678,50.7768078300803,0.4727626692658,4.82481005802034,4.58189236398614,194760.012861736,16.4301285778535,0.948861020218218,0.843263515903826,47.1861899225686,25.2339183794937
"CDC_Asterix_AGL",4.38262339849701,5.90983216562702,7.79132659071414,21.951460410653,6.24774940806783,-2.42260515047409,2.65806214186586,12.570072082377,27.1144599023624,29.5012554866361,31.6991683075137,44.4718444876257,29.0607274725558,5.03171251622397,4.21366754027888,0.724417873865549,4.56680824242239,6.66689145969684,28.2097199341969,57.7703184226836,0.607480542678811,3.99460795066217,1.81193818219262,56.9870296206694,58.3206271848527,59.7019108451142,70.889866468087,58.3629614674324,47.9665760158506,2.27774012664224,7.73730071046883,26.4830798771675,59.3743315866599,0.392519457321189,4.07848154256406,3.91552276206124,140715.663934426,14.7934664469836,0.959206434557375,0.790202086130721,34.3241153791721,15.2115965679009
"CDC_Cherie_AGL",9.94204573426937,11.4003816904337,13.0038857170607,25.2446526057447,11.5460192529154,1.25508037430019,2.4002591829008,17.0090041707256,16.3820919818225,18.2188094905153,20.2352261296243,36.0780418020888,18.3815093908795,3.59153914600411,3.11456946048702,0.795801987128658,4.06658981536839,11.458140779304,18.2553564317406,48.7520428164039,0.736443603745301,4.6329769820454,2.18199666675079,47.780008856478,49.179502479285,50.8950518442496,68.3267691196231,49.580062945094,38.7520871419905,2.90569003898479,12.2394169962965,19.0812238033753,52.1832388925584,0.263556396254699,4.72117999470389,4.5488332228898,190553.536277603,16.3231630857278,0.962777250873519,0.824447771615994,46.852098558425,25.1624628048022
"CDC_Glamis_AGL",14.1313220862646,15.8531751381074,17.7778117296013,30.6473687186188,16.0227517197251,2.95939447137331,2.84786874572927,25.9826280075,28.4727025079664,31.4443305922889,34.3820557945247,51.9018925700721,31.2683127842461,4.0313266404545,4.85234928223474,0.814756856894476,4.92330346065035,17.0841351581021,29.1989983612268,42.4747161939654,0.310105161391725,5.73671082290703,2.27960279210938,43.3566843557545,45.9051461808182,47.8491724917447,62.0907106483809,45.3233736676655,25.2353353006839,3.74196942021587,15.5184482566403,31.7472006246454,46.7295091026059,0.689894838608275,5.86611360887397,5.61368203020272,294054.1875,19.9788594319839,0.956907268696429,0.834682774255843,66.3616362947799,40.0280562173002
"CDC_Gold_AGL",7.85126383020536,9.27170719207266,10.752384248179,19.2068873080308,9.31442923138848,0.189424913008621,2.17459111320845,17.272165266,28.973372000159,31.9956754289539,34.9095468311834,50.4899014720892,31.7632534719338,7.15594279505891,4.84774549216996,0.644457055712003,3.45731848080427,9.65192701183615,32.6341798528712,68.0992925270111,0.444047574057194,4.67932234295244,2.80046666501587,67.8270120484997,69.4165341704278,71.0221205517331,77.2605450583024,69.4037390758098,56.8683628795418,2.34980476657505,9.03027920339146,29.9481474071409,70.3706716435561,0.555952425942806,4.80421285879014,4.56200860414624,193264.8,18.3582588047408,0.949427835928641,0.91919531265263,52.0678661428055,32.6288299760579
"CDC_Greenstar_AGL",9.46008148416099,11.1122690034202,13.3615978291512,29.8453912860713,11.6344890597107,1.65290416709224,3.08700931869335,31.5573206426582,30.091542265729,32.2854893080454,34.5232357297243,50.2776256957642,32.1316379302619,6.1062366498479,4.00215662906646,0.813257027691252,5.0562852716724,14.2375742775058,31.4055323661944,54.9435613612349,0.315194484872684,6.32828199985141,2.42558672909283,55.959342071103,58.0018065749602,59.5598839648657,69.1372107738784,57.4558313784002,41.5610837587638,3.06801123639728,10.5545502136425,32.4160050872575,58.708174303504,0.684805515127316,6.42197392131005,6.2386305921841,353955.911392405,22.067702477195,0.971239682975863,0.824209735541576,79.6175957051081,51.1391880859542
"CDC_Imax_AGL",12.5228505230627,14.1577236472994,16.0316993105679,29.6118930616788,14.3755832155452,3.14384813453646,2.73915047550199,19.4463927509677,18.6347681732592,20.7177713524338,23.0091783942314,40.2188770040405,20.8897081418719,4.12784537895609,3.51522319281243,0.814794159755926,3.14447326237789,14.5244420228658,21.0298749305919,48.9158830740961,0.651614886746166,4.96117851183352,2.21147359840502,47.8661732890027,49.3242854934409,50.9075044182586,67.6325250716772,49.5130975669708,37.3542446167616,2.73438566383399,14.8897950318271,21.1656414813248,51.1417417704656,0.348385113253834,5.05124434382583,4.8769891583126,218081,17.2743302633919,0.964881270405806,0.837999755936678,52.0069187757898,28.8072578550452
"CDC_Impower_AGL",10.1608828513558,11.7401249973212,13.5395396696375,25.7674542321737,11.9311530140613,1.91777136528008,2.54653746404902,24.5313281363469,31.3578681274277,33.9546613199473,36.496648738121,52.0220132889944,33.7054488985323,6.51828824460436,4.44452992286416,0.790856346086524,3.84937582253774,12.8762823565106,31.9257938827144,51.8785615653585,0.323917526394141,5.57362293490698,2.32355491313653,52.0761806878882,53.9435649245512,55.438843453479,65.3928822594226,53.6192422114469,39.6821109336687,2.65761227312959,11.6238964385476,33.9189175965686,54.5464421994387,0.676082473605859,5.67640583854712,5.47601594943625,274648.372693727,19.705576767482,0.964045498460713,0.830718927035407,63.8544648186321,38.2566437745019
"CDC_KR.1_AGL",12.0156669300545,13.6431505863974,15.6021302362009,30.1188459378971,13.9314760151733,2.82287094351671,2.786178511446,23.2183710632234,19.5665517165849,21.6441385430163,24.035647663878,41.1058677476633,21.8966161955167,4.4212959249898,3.59539479145927,0.818760592604833,3.01022499795985,14.2983005844667,22.2199893456244,50.5644628657264,0.586900919566533,5.42596906406233,2.21454468771062,49.5723703497383,51.0573088392633,52.6072390492747,68.163929086668,51.1930623217857,38.0467611451687,2.68932655096563,14.3584079671577,22.2897669801021,52.3601833959602,0.413099080433467,5.53020417512304,5.32632278271628,260449.981684982,18.8461216967548,0.963319759943978,0.813845773695531,60.293501466206,34.722079644561
"CDC_LeMay_AGL",-2.02206121609533,0.249764800041159,2.41848125327288,15.580135894945,0.20818863504344,-14.3461106649158,3.31194275055147,16.2717236672374,9.2891355531524,14.1741302032319,17.9900993452027,34.7212143484486,13.2562714428689,-13.6676017825972,6.57345200703456,0.527124477189581,13.6386180923697,-1.33959152250866,6.1726187589893,28.3511045389535,0.304724516686303,4.54539224059194,0.711733236945525,33.2338963679087,38.6222154347982,43.3956972134159,70.4587471094081,37.6350820388511,-3.30245509964522,9.10397893610661,1.03636540944694,16.2979060300218,41.7960819296211,0.695275483313697,4.71304602015908,4.3890309414216,184152.59922179,19.8121424039077,0.930245969759062,0.467550216631784,35.3061604979873,7.83540571852508
