"Name","a.25_Mo17","a.50_Mo17","a.75_Mo17","a.max_Mo17","a.mean_Mo17","a.min_Mo17","a.std_Mo17","area.mm.2._Mo17","b.25_Mo17","b.50_Mo17","b.75_Mo17","b.max_Mo17","b.mean_Mo17","b.min_Mo17","b.std_Mo17","circularity.4.pi.area..perimeter.2.._Mo17","cluster.distance_Mo17","dark.cluster.a_Mo17","dark.cluster.b_Mo17","dark.cluster.l_Mo17","dark.cluster.proportion_Mo17","equivalent.diameter.mm._Mo17","height.mm._Mo17","l.25_Mo17","l.50_Mo17","l.75_Mo17","l.max_Mo17","l.mean_Mo17","l.min_Mo17","l.std_Mo17","light.cluster.a_Mo17","light.cluster.b_Mo17","light.cluster.l_Mo17","light.cluster.proportion_Mo17","major.axis.length.mm._Mo17","minor.axis.length.mm._Mo17","num.pixels.per.component_Mo17","perimeter.mm._Mo17","roundness.4.area..pi.major.axis.2._Mo17","sphericity.pi..1.3...6.volume...2.3....surface.area._Mo17","surface.area.mm.2._Mo17","volume.mm.3._Mo17"
"X3156.11_AGL",16.488574168446,18.4457631962856,20.5423292156085,33.8898097171465,18.5274164734763,4.30732480870049,3.17027464831866,14.0754936846701,22.3038187500488,24.9368978986941,27.7361320753157,44.4940052306681,25.0102617159701,4.70714822257852,4.24467966582898,0.840290222233641,4.2720388958164,19.4883245022354,25.1149063387413,39.8707870951104,0.449841631107798,4.21205080709705,1.88259671192893,40.4974645825866,42.5131661953478,44.1953819716542,61.9137110799563,42.2035707276769,23.4574137255481,3.56344298266628,17.7230189592416,24.3475365090344,43.689248149729,0.550158368892202,4.33711794658369,4.09491103802356,159297.121827411,14.434135937275,0.943084299455597,0.866469134304159,37.3871478083726,17.9684590803424
"CDC_Asterix_AGL",10.3317394238652,12.1482165262913,14.2247442197353,28.9049880164094,12.3873522547273,2.06857372850726,2.92834373906022,12.7476477121555,29.1383413430286,31.6393653155816,33.852313447119,47.6418818945158,31.1701774996361,6.61639842788471,4.23170303975098,0.834679959681414,4.41187232896312,12.8992181547157,29.060900804826,54.9040905766393,0.500512905887287,4.01863311863806,1.8197781509629,54.4907765132862,55.9732290885719,57.1936838448691,69.2649606454759,55.8212787625567,43.4666432504602,2.36700169914734,12.502434181451,29.1895028384897,56.826268708164,0.499487094112713,4.11579608971423,3.92780314032148,144269.439929329,13.8241586719139,0.953797953033956,0.870680331263801,34.0396054212092,15.6125512899283
"CDC_Cherie_AGL",12.9925308415679,14.8708778096829,17.0041412343492,31.0315642153919,15.0907005005771,2.94084730023855,3.08285194135203,15.4401961362199,18.9998540338786,21.2870047004564,23.8667232061685,41.6814369182096,21.5365764109026,4.2165767763849,3.88754859120609,0.824326147935344,4.1112187025002,16.0945984297333,22.445925776071,44.8382795323229,0.575006628113754,4.40941444116324,2.03022927154639,44.4301925931751,46.0425471365504,47.5143109688258,65.2711831030915,46.0145126801392,30.0759027687676,3.10203045875666,14.4546199856984,20.8399864125822,47.9298363050801,0.424993371886246,4.52844042039118,4.29783433882524,174741.920962199,15.2588025198504,0.948239481672538,0.8426916107656,41.8187653408312,21.532561902253
"CDC_KR.1_AGL",16.9733835864342,19.1238166141779,21.5503625395954,36.6834880174096,19.3343932641615,4.82999411211093,3.48261586542801,17.6289270988235,22.9293549000697,25.6553605682706,28.6944853160042,46.96388657458,25.8653998325472,5.15887524348053,4.45649982913658,0.847844616207542,4.90362019875392,20.9430154254942,26.5022574308978,40.5271761764674,0.453339107832135,4.70331670406274,1.85728711444853,41.1564575538896,43.5546308958255,45.5044351476724,62.8961971596551,43.2261790459673,23.0570461198491,3.93382475016386,18.345148336427,25.2416946666053,44.8847521401202,0.546660892167865,4.79621992407369,4.6159210547159,199512.529411765,16.0466555074725,0.961620511060227,0.831004774781717,44.9456644613855,22.6173177881521
"CDC_LeMay_AGL",3.97369812360856,6.42956181969535,9.16065081943092,24.9303484255671,6.68688316356238,-9.32745106919903,3.96722123580855,14.5203913794872,12.5557974967886,17.4508900016551,21.5121757644505,40.4842147686187,16.6657352629326,-11.5646279459936,7.00570042436235,0.609456374473659,12.2724854617405,5.76705883084723,9.63370409207712,27.1338672784004,0.352039083539689,4.27973961631006,0.973921750128205,31.1368690149133,36.2303329001775,40.4340554199639,66.1681617565362,35.0270014144975,-2.72322620608677,8.54958018002732,7.48249412281743,20.0421202688443,39.319683763337,0.647960916460311,4.42765194432106,4.14454716826439,164332.179487179,17.6319184856193,0.934198084450546,0.543772408891981,33.3899938626376,9.61765061218911
"CDC_Maxim_AGL",13.1880310549515,14.939852525082,16.8532457971309,30.2166774783307,15.0703450820475,3.23502247239215,2.76954935917092,18.8753320851613,20.469662873487,22.6038797794157,24.9062864883111,41.8331438172154,22.7042508840326,4.24486830502589,3.56972429633142,0.832388390961659,3.40819070417952,15.9762416503113,23.3042726216434,45.2252000602656,0.582894714242036,4.89114208513538,2.35673910641129,44.7694754210283,46.359659402549,47.7836054516559,63.7798784793949,46.272346690754,30.5861683000267,2.73552708695259,14.215080785184,21.6097225970542,47.9605857685165,0.417105285757964,5.00222099492544,4.78671196259781,213618.516129032,16.8460655205965,0.956131195871312,0.885911198693746,51.6222228608492,29.9418552944546
"CDC_QG.1_AGL",5.44325914419474,7.90256925852693,11.1334518895283,27.2155089464707,8.50264391527841,-3.56018225656307,4.11575105771051,19.2621617403704,23.8064377893648,26.0089123869511,28.4562926820363,45.1332836465643,26.0665542807929,3.53072833649203,3.97089486869603,0.787991655716604,6.10860550279669,11.4340365406573,27.1270828564824,44.5809563785443,0.445929082888729,4.92854079865754,1.78066454798611,44.5308225815111,46.6246921899705,48.3453414457848,65.7682489940823,46.3521216975845,31.0199764841952,3.39338010072123,7.00139584931282,24.8492932153757,47.9928205077185,0.554070917111271,5.03825241624992,4.82550489844591,217996.398148148,17.4831724100469,0.957148781316094,0.759354737509892,48.3409372575288,23.4731944662718
"CDC_Red_Rider_AGL",16.3117422038415,18.264314132993,20.5103906825604,35.1912508302409,18.4705234595575,4.3152288784938,3.24916202880221,16.2494893590943,21.4220256429597,23.8675203841894,26.6026373756378,44.2980271457577,24.0702791639662,4.48225285829801,4.11555711800141,0.843408565995393,3.35140171494972,19.6403199560707,24.9594086788866,40.611983657835,0.485987459417888,4.52237120726737,1.95374320573585,40.0665246393019,41.8855857348942,43.5115914473096,61.0586503488342,41.793620095305,25.3095446946586,3.08516153233251,17.6089605045922,23.3533543082224,43.1114118302862,0.514012540582112,4.66879924549335,4.38580263016392,183900.966037736,15.4771066786969,0.939445950481114,0.846175464417064,42.8328961378055,21.7694725959778
"CDC_Redcoat_AGL",14.0420518499652,15.8119463413424,17.8052824131535,32.0324784651014,15.981092349611,3.74520732940005,2.88870407248344,15.0169620418045,20.0037103769374,22.2619151186506,24.7589031098607,42.0970960607624,22.4299091546878,4.59892202847577,3.78792716298645,0.840615367417008,4.08434197681459,16.6665820856213,22.961176510249,43.500060324831,0.637797854554737,4.3407879301362,2.06297362460526,42.6919048837592,44.1847724559099,45.6784037223538,63.7738577593571,44.2796191522462,30.7125112590384,2.95052032247557,15.1420596893197,21.4326791678153,46.8413264417807,0.362202145445263,4.42585770325929,4.26150060877422,169952.037593985,14.8761894526716,0.96215505377528,0.871428732579663,40.9179155352283,21.2005840681664
"CDC_Redwing_AGL",14.9746564309165,16.9536902232549,19.2334123109231,33.7631113725084,17.1924443634778,4.50715776104312,3.25597027387633,15.1491285939914,27.5414198056523,29.9541543098601,32.4434125015748,48.4006864149142,29.8577829513141,6.0834558385352,4.2219953741327,0.842427406766487,4.11424944320481,18.2750500283173,29.6541411340943,47.9694384689343,0.387487464792921,4.36963903311082,2.03711431693133,47.9524048180912,50.2137466601829,51.9976867758008,64.121503336296,49.8599337506812,32.7977912568881,3.18625126224402,16.4565972877801,29.4468107392898,51.1339665282766,0.612512535207079,4.5064781226406,4.2427474020148,171447.811158798,14.9571844047777,0.940727712041897,0.881307201931738,40.8399170675714,20.9009832123466
