"Name","a.25_Su18","a.50_Su18","a.75_Su18","a.max_Su18","a.mean_Su18","a.min_Su18","a.std_Su18","area.mm.2._Su18","b.25_Su18","b.50_Su18","b.75_Su18","b.max_Su18","b.mean_Su18","b.min_Su18","b.std_Su18","circularity.4.pi.area..perimeter.2.._Su18","cluster.distance_Su18","dark.cluster.a_Su18","dark.cluster.b_Su18","dark.cluster.l_Su18","dark.cluster.proportion_Su18","equivalent.diameter.mm._Su18","height.mm._Su18","l.25_Su18","l.50_Su18","l.75_Su18","l.max_Su18","l.mean_Su18","l.min_Su18","l.std_Su18","light.cluster.a_Su18","light.cluster.b_Su18","light.cluster.l_Su18","light.cluster.proportion_Su18","major.axis.length.mm._Su18","minor.axis.length.mm._Su18","num.pixels.per.component_Su18","perimeter.mm._Su18","roundness.4.area..pi.major.axis.2._Su18","sphericity.pi..1.3...6.volume...2.3....surface.area._Su18","surface.area.mm.2._Su18","volume.mm.3._Su18"
"X3156.11_AGL",10.64539382915,12.0722714797143,13.644222718175,27.3768388156786,12.2244497485821,1.96905962373929,2.38881375049643,22.3276041424286,17.3633585362143,19.3539262007143,21.5485669072857,41.6556304052143,19.5902184636429,4.12492687209643,3.45184933020357,0.809805454982143,3.01307629318929,12.5048639281143,19.8468298300714,48.5459916911071,0.631114805682143,5.32132454243929,2.87547426948214,47.65708090625,49.0630485601429,50.4967102813214,67.1959632835714,49.1802261661786,36.7897443353214,2.67250782684643,12.5509474515214,20.1707161335,50.6214665530357,0.368885194317857,5.48172224096071,5.17119634331071,252689.046428571,18.5800151415,0.942630777421429,0.908895111303571,64.0182224875714,43.0130099324464
"CDC_Asterix_AGL",5.24209107508264,6.69623794057851,8.42168352549174,22.7979094510331,6.97943998572727,-1.75739639419421,2.51754257792149,17.0956602160331,26.2807109550826,28.6665724947107,30.8760442324793,45.7723513672314,28.3411332907025,4.73033284271074,4.01872767239669,0.719854951760331,4.05122208707851,8.41470170863636,26.1954707311157,57.464409323595,0.359256117714876,4.65844328144628,2.26563024371901,57.235959636405,58.7293162614876,59.9277476992562,70.6931299276859,58.504627205124,46.0707983826446,2.33620194163223,7.02457051816116,28.0086202679752,59.0876935850826,0.640743882285124,4.79010938086777,4.53980822511157,193477.367768595,17.3869118955372,0.946471005512397,0.835923342256198,47.5590075133195,25.9424209654628
"CDC_Cherie_AGL",8.35720043588276,9.73256265706897,11.2670587700931,24.9683096077931,9.91805931243104,0.344713615775862,2.34048691199655,21.6507429398621,14.0287711942069,15.8103026685862,17.8485470427241,36.5224722363793,16.1185319209655,2.80986247793103,3.19228371139655,0.78175526347931,4.47293741386207,9.84838442938276,15.9917267494828,47.9531285582414,0.767633298562069,5.2389447824931,2.42790911736207,46.888773916,48.2857587481724,49.9567055036897,68.8128181917586,48.6785742939655,37.1317373381034,3.0072580653,11.0726014087621,17.9074268883103,51.5413253930345,0.232366701437931,5.42235214140345,5.06842258866897,245028.779310345,18.6209215583103,0.933813446031034,0.843556277506897,58.8255826687931,35.4138513022552
"CDC_Glamis_AGL",5.43482366761187,6.85715945216438,8.65052455552968,26.2495349275799,7.24487627751598,-1.73172811955251,2.66440879105023,33.8176911473973,26.8076997612329,29.008265377032,31.1305971425114,47.0412760566667,28.8290307916438,4.75739639687215,3.78411562131963,0.778052005315068,4.93709232074429,9.61306171545206,26.637950663242,54.7608867868037,0.269066062041096,6.55328953139726,3.16414669527397,55.8616538561644,57.6856978274429,58.9893015303653,69.3959393545206,57.1516123737443,40.03979383621,2.83006558381735,6.52491301454338,29.8191098916438,58.1108015992237,0.730933937958904,6.75358038473516,6.36583843289954,382726.246575342,23.3633216023744,0.941784391945205,0.876380385863014,92.758812828945,71.2977681924886
"CDC_Gold_AGL",4.20614090851877,5.43803073406485,6.72611089110239,15.9838173787679,5.49600831477816,-2.67867884466212,1.91379776709556,23.3679675679181,29.0568062632764,32.1142349762799,34.7255954242662,50.2180057504096,31.6223368128669,4.59535600016382,4.6635977247884,0.554239938075085,3.07466976283618,5.5943608321058,31.6161936106143,67.5016425382594,0.561498889658703,5.44530799264846,3.80093829066553,66.9200962681229,68.3139450552901,69.6073567081911,76.7535144343686,68.2570928338567,56.9015107767577,2.1578416800785,5.82338841872355,29.7233640742662,69.192330556041,0.438501110341297,5.65443997892491,5.25212448914334,264463.19112628,23.2256830340273,0.928164966225256,0.946855809856655,75.92159589,59.4449788268259
"CDC_Greenstar_AGL",6.78305508271361,8.23162009569014,10.1815142956244,28.4337930270892,8.77097091640376,-0.626358509037559,2.93260247794366,36.8451314465728,28.1526937138498,30.1775270238498,32.1907472138967,48.8731223246948,30.0189259114085,5.37009811746479,3.63520282730516,0.799911770075117,5.23032575342254,11.8263928067934,28.7126627225352,56.9647093807981,0.243933918239437,6.83717042507981,3.09278175690141,58.6671780596714,60.4031144307512,61.6492169895305,70.1554109715962,59.7809806849296,40.326835010554,2.95360916411268,7.74027741506573,30.4906605260563,60.7777559405634,0.756066081760563,7.01901738150704,6.66730939815493,416988.812206573,24.0280510328638,0.949062529380282,0.869358547079812,98.2073851570892,75.5139617537559
"CDC_Imax_AGL",9.96198805471084,11.3750418463534,12.9904326318193,28.6769536137751,11.6171959661566,1.42522738598394,2.50772768263855,24.719698993253,15.2501114673896,17.1631498122892,19.4042626542972,41.4961777149398,17.5422018259438,3.54870977529317,3.4861393650241,0.807928193172691,4.49491162226908,11.1102382607108,16.7777467980723,48.8987986531727,0.767057373477912,5.60030315250201,3.03925471018072,47.7604207516867,49.2581743047791,51.104724796747,68.3271600510843,49.6513638148594,37.2214755518474,2.95088855590361,13.2687065833213,19.9942901605622,52.4252970543373,0.232942626522088,5.78041595884739,5.43282683869478,279761.192771084,19.5728280537349,0.9392588072249,0.902024917341365,71.1609719170683,50.2973947601606
"CDC_Impower_AGL",7.41015170448718,8.87427486421026,10.6922583812769,26.0938466053333,9.21051311210769,-0.23123039854359,2.61421804574872,34.6095299298462,27.9398461102051,30.1330324210769,32.2551845424103,48.2581555195897,29.9155730437949,5.17773729682564,3.7814557042359,0.782217685328205,4.95851931149744,11.2539344447077,27.6882060442564,55.8786511473846,0.246008099415385,6.62794280208718,3.20908236723077,57.5159087486154,59.4448779553846,60.7600094515897,68.9541475307692,58.7916910289744,40.887958322359,2.96743913644615,8.45285023443077,30.6791280523077,59.9011682136923,0.753991900584615,6.84431124185641,6.42802140282051,391687.753846154,23.5635197605641,0.93814497734359,0.885924083538462,94.7668291734359,73.977374777841
"CDC_KR.1_AGL",9.36635703230526,10.7886421002035,12.4235779618105,28.0276057296491,11.0448071609614,0.994986094319298,2.51596406650175,28.7472891879298,15.2060350170175,17.1245593359298,19.4140745950526,39.6895225385263,17.5429424131228,3.45231504451579,3.50976505686667,0.80931739502807,4.49639607033684,10.5906826520281,16.8609975272281,47.9583947889123,0.76179283842807,6.04041201113684,2.97844077615789,46.8138976750175,48.2995169481754,50.1270430622807,68.4676832305614,48.7227403558246,37.1976698814035,3.00847124292632,12.8210687330421,20.2550420164561,51.2927420963509,0.23820716157193,6.24851222288772,5.84674454626667,325342.792982456,21.0946802620351,0.93535665105614,0.878974092021053,79.5425936997193,57.3244218276456
"CDC_LeMay_AGL",-1.77761634757091,0.265583535330909,2.34240235038545,17.7515546449091,0.338448987989091,-14.4198889393455,3.16949569657091,20.2654871335273,4.11562538038545,9.60704410125091,14.2335497258327,31.7507111413818,9.05280341113091,-15.6866274135636,6.84647540289091,0.49506345212,14.2800894918255,-0.290593094316364,2.55098955778182,25.2619667309818,0.400465900963636,5.07420619525455,0.96003006,27.9433462354909,34.8188459491636,40.6071802165091,70.8393643639273,33.8964232045455,-5.31608604736,10.0184287638691,0.874242775887273,13.1853886573345,39.7615254121818,0.599534099036364,5.25442468925091,4.90901167542909,229351.370909091,22.855344526,0.932787706498182,0.533329420203636,44.8517586977818,13.0330021368873
