"Name","a.25_It17","a.50_It17","a.75_It17","a.max_It17","a.mean_It17","a.min_It17","a.std_It17","area.mm.2._It17","b.25_It17","b.50_It17","b.75_It17","b.max_It17","b.mean_It17","b.min_It17","b.std_It17","circularity.4.pi.area..perimeter.2.._It17","cluster.distance_It17","dark.cluster.a_It17","dark.cluster.b_It17","dark.cluster.l_It17","dark.cluster.proportion_It17","equivalent.diameter.mm._It17","height.mm._It17","l.25_It17","l.50_It17","l.75_It17","l.max_It17","l.mean_It17","l.min_It17","l.std_It17","light.cluster.a_It17","light.cluster.b_It17","light.cluster.l_It17","light.cluster.proportion_It17","major.axis.length.mm._It17","minor.axis.length.mm._It17","num.pixels.per.component_It17","perimeter.mm._It17","roundness.4.area..pi.major.axis.2._It17","sphericity.pi..1.3...6.volume...2.3....surface.area._It17","surface.area.mm.2._It17","volume.mm.3._It17"
"X3156.11_AGL",14.3319143986957,16.1169086061836,18.1041923041525,34.1144807696826,16.3362266995819,3.30561176769285,3.10307435057671,16.0072330831746,19.6013355735739,22.1575047171542,24.9886039169555,43.849948428211,22.390592894874,3.34310636107562,4.22614488438774,0.825009386958466,5.69481489406348,17.6936578244078,22.9838503563975,41.0315724841969,0.316352141050655,4.49528081614916,2.1504139089881,43.9171192038591,46.1117886688488,47.8403338066963,64.5659425609599,45.4547618039117,18.682835731868,4.45750494189386,16.0044300014005,22.1811410090314,46.7503767692484,0.683647858949345,4.69473293623172,4.31339932447077,181159.26984127,15.5506041133413,0.917158224715177,0.877592782387166,43.7370092693092,23.297331140885
"CDC_Asterix_AGL",9.46291248765052,11.1008620611217,13.0877372024956,29.0723158380918,11.4438444313177,1.72874975724325,2.87178951849302,12.3288458228571,26.46618569926,28.91771423742,31.0610892833018,45.1118189448788,28.4631539622202,5.6738565582433,4.06782761922753,0.808878881802676,4.28638872117901,12.1790396465847,26.391656011474,54.2579593794324,0.441599454187344,3.94600974377882,2.02262520592705,53.9637722784024,55.4361907453222,56.686370201511,68.245845549455,55.2693522761565,41.4106109891891,2.48523237878597,11.8398190526399,27.5834748218808,56.1373642647091,0.558400545812656,4.0558494832987,3.84361071113514,139529.717325228,13.7999290985121,0.947291682519717,0.891748109703156,34.6123195786617,16.8387625767351
"CDC_Cherie_AGL",8.962514420755,10.499252032139,12.313972262256,27.6153262754883,10.7939210649466,0.777124539764148,2.70691274629061,16.1419426859925,14.8175559255774,16.7577397363273,19.0670340452429,37.3688438579034,17.1254775855496,2.9028340007557,3.47350201609395,0.791956533697502,4.58556964925281,11.468220803441,17.7615349919546,46.5720816876845,0.630607101250678,4.51411201415869,2.15067239320225,46.2591576933531,47.7653250602127,49.2685426698615,68.230245071657,47.8632477262859,30.7616873454802,3.41776084479525,11.4345959340479,17.9816082697308,50.1079330309636,0.369392898749322,4.67779118104416,4.36297055378751,182683.823970037,15.9445634411014,0.931599390925907,0.825907481727398,44.5468201793444,23.5418835568577
"CDC_Gold_AGL",8.93208851312228,10.3678680422293,11.7834723902577,20.2891720825442,10.3291674900542,0.724932781326186,2.20354936798202,14.7261935390303,29.2551580908973,31.6585166966309,34.0153647776071,48.7868285381936,31.3756147255397,6.69607790785012,4.26062083403388,0.638753685286107,3.13006612844048,10.5176801263244,31.4628653201332,69.5716316877136,0.559752080956468,4.30259149607812,2.79280111431818,69.1610130312204,70.5193058498564,71.8584660672712,78.5468458941885,70.5221042898508,60.5077888629323,2.12752157439033,9.63422225506308,29.4649990342147,71.7009030110216,0.440247919043532,4.45814347167844,4.15863137933029,166661.312121212,16.9979532696327,0.932374026908597,0.946228495407465,46.0240635374841,28.1052542702658
"CDC_Greenstar_AGL",10.4564665081583,12.5102729932812,15.1076004351451,30.7243678381062,12.962795251398,1.44129860859887,3.46638038797102,24.7794193172851,25.8135836257251,28.1168134527735,30.6608540737635,48.7998106696326,28.2021053067791,4.92374842471617,4.18459575918289,0.821201472524451,5.1879773788611,15.3702611972923,28.7529147523779,49.6658634913441,0.344812792867804,5.57692415221903,2.21017774947964,50.4448689274,52.8573507217958,54.4786077557579,67.0599613781151,52.2043408277772,34.1863764476427,3.53925545912582,11.6276786415236,27.8655101625572,53.5916645206116,0.655187207132196,5.72983691271804,5.43438248490337,280437.067873303,19.3397524689343,0.947235114508109,0.827656208104632,63.3539354605679,37.6305865577815
"CDC_Imax_AGL",12.3727625977336,14.111521300707,16.1256784488227,31.6805629303562,14.3699896888098,2.46541723742406,2.97819143004583,16.260927201831,17.8196074492959,20.1357363509602,22.7786378015555,41.613899851746,20.4223611581809,3.63392518025827,3.91419733388866,0.819130329060623,4.67134051081815,15.0710006315574,20.8050570456811,45.240295753853,0.585067615980183,4.52030114844867,2.23285830285211,45.3036599563192,47.045637131244,48.7187051679909,66.0389300116819,47.0173542273935,28.3620436681715,3.46920838698496,14.3749377080666,20.5689424417096,49.1710189179122,0.414932384019817,4.67206350725007,4.38027872386233,184030.411971831,15.692659373227,0.936248676071976,0.870205150601571,45.1457395597452,24.9293636933021
"CDC_KR.1_AGL",12.5966627255319,14.3370247151226,16.4249597414824,32.1027294330787,14.6635636783101,3.32030369336603,3.03327064973538,18.7421372806751,18.5689213164217,20.8716186482373,23.6930946207205,43.5114902789834,21.3257515835932,4.21610896291314,4.10573267052746,0.829619498050214,3.98520412549398,15.3145535089719,21.9878795036234,46.721586317451,0.6102081980662,4.85536497004359,2.10585001329114,45.9082167359582,47.5320340795579,49.187415416224,66.5806789260327,47.6973319866155,32.9937637256535,3.1550552001391,15.0296212414853,21.9810582977371,49.3195198333363,0.3897918019338,5.00052240936216,4.71953303174172,212111.105485232,16.7484053731668,0.943959700645889,0.843057807974004,49.4774123179207,27.0399690494412
"CDC_LeMay_AGL",0.76914159831611,3.0657896125506,5.56252206004871,21.1851284722725,3.2844953884367,-12.1134897351083,3.71562758802218,14.5105650621908,8.94181341083369,13.7077563519265,17.7942445287926,36.3396064878844,13.0754825801585,-12.8554392165074,6.67415997367376,0.531406405648419,11.9561742327911,2.28612079009058,6.90638943099181,28.6572365108156,0.381758812011637,4.28059480764129,0.874472664381625,31.9332323820476,36.9238051563461,41.1243566908355,68.8035013274728,35.9054012515595,-2.42202347674413,8.52041743321906,4.33840464277594,16.2077543055291,40.0300568412179,0.618241187988363,4.45886277766068,4.12213715433268,164220.971731449,18.8966844478398,0.92172588800238,0.493505972368287,33.0165055736228,8.60733025182602
"CDC_Maxim_AGL",10.2217480672653,11.7271526153869,13.4460929067345,28.3601157636595,11.9683320839766,1.88671886660673,2.60518147713074,18.2277254933333,17.0144092480177,18.9527506484273,21.1745055659211,39.3379244949901,19.2367702041497,3.58038066099274,3.43360254017519,0.812236704337072,3.76574287656915,12.9236187962403,20.1917237873646,48.2356513826639,0.572044168856136,4.80457371618899,2.44175564990196,47.8004873289326,49.2787634665579,50.6758956448435,67.3690786020124,49.2815343936536,32.6486970840907,2.93945899094251,12.0487606537379,19.2678260285177,51.0031535889572,0.427955831143864,4.95665646779653,4.6624708040071,206289.333333333,16.7525726822599,0.940029094451258,0.875103390901012,51.2204868038664,30.003447501952
"CDC_QG.1_AGL",5.73600092297771,7.89158366372664,10.6021329243915,25.6717032569652,8.32417318169649,-3.57746125340726,3.6476754772464,18.0692112019277,23.3061730961471,25.4561875840733,27.7830288401423,44.3326737335872,25.4853477680663,4.1970877883044,3.78787517096138,0.752217846583195,6.26762262647559,10.5122609424648,26.3006101578394,48.5309737166228,0.450267204996361,4.77636292666454,1.81820130403614,49.1454848615326,51.3635346011923,53.0023226025763,67.9272989521425,50.9179784284205,30.0164741114526,3.69063772573971,7.89729940966454,24.5878831895901,52.5443615179706,0.549732795003639,4.93757984388655,4.62950586232131,204495.373493976,17.422479461421,0.93575339321816,0.774278202023271,46.0299494062501,22.1210967926353
