"Entry","Name","Size","CotyledonColor","TestaColor","TestaSubColor","TestaPattern","BlackTesta","area","perimeter","diameter","minor.axis","major.axis","SeedMass1000.2015","SeedMass1000.2016","SeedMass1000.2017","SeedMass1000.2018","Plumpness_2015","Plumpness_2016","Plumpness_2017","Plumpness_2018"
274,"PI 432033 LSP AGL","S","Yellow","Grey","Grey_Y","Mottle0","Absent",0.124,1.24,0.396,0.372,0.44,38.2,29.2,32,35.1046823240407,96.5726628655782,73.8178330064127,80.763995098918,88.6730678968189
275,"PI 432085 LSP AGL","L","Yellow","Green","Green","Absent","Absent",0.2,1.58,0.505,0.488,0.53,34.9,42.3,43,45.5829596412556,69.2329279060376,83.7572725484133,85.2222910651032,90.3229054978644
276,"PI 432106 LSP AGL","XL","Yellow","Green","Green","Absent","Absent",0.322,2.01,0.64,0.614,0.673,48.2,60.3,63.2,56.1498257839721,75.3098722441805,94.1941129596042,98.6383602872131,87.7036501311609
277,"PI 432124 LSP AGL","S","Red","Green","Green_P","Mottle1","Mottle",0.109,1.17,0.371,0.35,0.413,26.5,26.1,26.4,28.3995459704881,71.3794691423118,70.4085408472324,71.0472939609484,76.4799263119069
278,"PI 432145 LSP AGL","M","Yellow","Green","Green","Mottle1","Absent",0.128,1.27,0.404,0.389,0.44,30.9,32.3,27.3,33.2321899736148,76.3967400230578,79.7726295595763,67.4497761609606,82.1900823749748
279,"PI 432147 LSP AGL","M","Yellow","Green","Green","Mottle1","Mottle",0.143,1.34,0.428,0.39,0.495,32,31.7,32.4,35.9043602333291,74.8824170955318,74.1752485938532,75.8527849760076,83.9758945166221
280,"PI 432184 LSP AGL","M","Yellow","Green","Green","Mottle0","Absent",0.176,1.48,0.473,0.458,0.504,33.2,35.7,35.4,38.4604519774011,70.2249276222997,75.6252330866703,74.8356990667106,81.369080347111
281,"PI 432188 LSP AGL","L","Yellow","Green","Green","Mottle0","Mottle",0.197,1.57,0.502,0.48,0.535,38.1,39.5,38.4,41.9951670319369,76.0019108768994,78.6852426196688,76.517768705777,83.7298412245085
282,"PI 432190 LSP AGL","XL","Yellow","Green","Green","Mottle1","Mottle",0.287,1.9,0.604,0.579,0.635,42,42.2,47.2,49.8173515981735,69.516748741815,69.8242106416826,78.196872125115,82.4942344771962
283,"PI 432201 LSP AGL","M","Red","Green","Green","Mottle1","Mottle",0.134,1.3,0.413,0.392,0.448,23.2,26.6,28.6,29.3645546372819,56.134269339976,64.3193139273181,69.2710472455694,71.100616555162
284,"PI 432212 LSP AGL","M","Red","Brown","Brown","Marbled","Pattern",0.13,1.28,0.406,0.39,0.447,26.6,29.6,28.5,30.9530694577667,65.453022184211,72.9152755785338,70.1154874657746,76.1765450150126
285,"PI 432236 LSP AGL","S","Red","Brown","Brown","Marbled","Pattern",0.097,1.1,0.35,0.319,0.427,20.2,26.2,24.1,27.6419222069784,57.5467269152901,74.7436030249664,68.8102355101238,78.9268083321084
286,"PI 432245 LSP AGL","M","Yellow","Green","Green","Absent","Absent",0.194,1.56,0.496,0.467,0.544,58,57.6,48.8,56.5151515151515,116.899337105026,116.121923145309,98.2115511473402,113.83983071539
287,"PI 432271 LSP AGL","M","Red","Grey","Grey","Mottle1","Mottle",0.154,1.39,0.443,0.422,0.476,26.9,27,22.4,29.0473498752019,60.6783937957609,61.0091219147828,50.6769980220519,65.5860885290559
288,"PI 432286 LSP AGL","M","Red","Brown","Brown","Spotted","Pattern",0.149,1.37,0.436,0.41,0.491,26.8,28.2,26.7,37.595818815331,61.4835593891123,64.7253042885192,61.2075662331349,86.272914160627
289,"PI 451763 LSP AGL","L","Yellow","Green","Green","Mottle2","Mottle",0.279,1.87,0.595,0.563,0.635,50.8,47.1,52.6,56.1659513590844,85.2312411622258,79.0698653779271,88.3264873829608,94.3260985690913
290,"PI 458503 LSP AGL","M","Yellow","Green","Green","Mottle1","Mottle",0.159,1.41,0.449,0.429,0.483,34.5,28.2,30.2,35.3195673549656,76.8199856873334,62.7227716513379,67.1246585300916,78.5849459072165
291,"PI 468900 LSP AGL","M","Yellow","Green","Green","Mottle1","Mottle",0.169,1.45,0.463,0.453,0.485,40.6,40.4,34.9,39.7489504529624,87.7169823774009,87.1415543621441,75.343671392799,85.7891016970412
292,"PI 468901 AGL","M","Red","Green","Green_P","Mottle2","Mottle",0.133,1.29,0.411,0.385,0.454,29,27.6,24.7,32.8709990300679,70.5540127905412,67.0674305618898,60.0782743181664,79.9348801055421
293,"PI 468902 LSP AGL","M","Red/Yellow","Grey","Grey","Mottle2","Mottle",0.161,1.42,0.451,0.435,0.481,26.6,29.8,29.2,36.1036036036036,58.8697755572661,65.9754996590753,64.6430293131119,79.9735250879726
294,"PI 472136 LSP AGL","S","Red","Grey","Grey","Dotted","Pattern",0.091,1.07,0.341,0.314,0.387,24.2,25,24.2,23.9973262032086,71.1528520264601,73.361279176217,70.973800741588,70.4652319180674
295,"PI 472205 LSP AGL","M","Red","Grey","Grey","Dotted;Marbled","Pattern",0.144,1.34,0.428,0.405,0.468,30.8,33.9,36.3,38.0378657487091,71.9657857933742,79.251788958511,84.846527138528,88.8504520473351
296,"PI 472213 LSP AGL","S","Red","Green","Green_P","Absent","Absent",0.12,1.23,0.391,0.378,0.419,35.6,31.7,28.3,35.7048748353096,91.0616307623937,81.1003955764734,72.3941864631594,91.2390327989173
297,"PI 472327 LSP AGL","S","Red","Grey","Grey_Y","Mottle2","Mottle",0.086,1.04,0.33,0.315,0.365,23.2,22.7,21.1,24.027149321267,70.1386091888087,68.7760680775611,64.0084418942889,72.726899194149
298,"PI 472380 LSP AGL","S","Red","Grey","Grey","Dotted","Present",0.112,1.18,0.376,0.348,0.427,24.9,26.5,22.8,25.5354659248957,66.1769180319002,70.4341836168445,60.6150372736452,67.8533195524244
299,"PI 472416 LSP AGL","S","Red","Grey","Grey","Dotted;Marbled","Pattern",0.098,1.11,0.353,0.331,0.387,22.1,23.6,20.6,23.5422602089269,62.5989201469818,66.892943240001,58.4934583754404,66.7760295872492
300,"PI 472488 LSP AGL","S","Red","Black","Black","Marbled","Present",0.103,1.13,0.362,0.337,0.429,25.7,25.1,23.1,23.2708333333333,71.1627620782737,69.4148946590967,63.9676176633769,64.3729829414477
301,"PI 472559 LSP AGL","S","Red","Grey","Grey","Dotted;Marbled","Pattern",0.076,0.97,0.31,0.289,0.356,20.4,23.4,21.3,21.3628318584071,65.9100664974734,75.5241661531655,68.7820709423055,68.8568311310462
302,"PI 472561 LSP AGL","S","Red","Grey","Grey","Dotted;Marbled","Pattern",0.08,1,0.318,0.293,0.364,25,23.7,21.8,25.5442176870748,78.6817610170507,74.5007296066285,68.4788938978884,80.2716337931821
303,"PI 472569 LSP AGL","S","Red","Grey","Grey","Dotted;Marbled","Pattern",0.077,0.98,0.313,0.29,0.354,22.7,23.2,21.5,22.7707808564232,72.660843919313,74.0887147830647,68.6637711827636,72.8373637950361
304,"PI 472588 LSP AGL","M","Yellow","Green","Green","Dotted","Pattern",0.158,1.41,0.448,0.435,0.472,28.4,27.8,31.6,39.5194541231127,63.5087116438918,62.1308454979526,70.4618649360209,88.2349509074705
305,"PI 472590 LSP AGL","M","Yellow","Grey","Grey_Y","Absent","Absent",0.187,1.53,0.488,0.458,0.539,49.7,45.5,38.1,45.1387347391787,101.776657841855,93.2062015029309,77.9749885766361,92.4342690904684
306,"PI 472615 LSP AGL","M","Yellow","Green","Green","Absent","Absent",0.192,1.55,0.494,0.474,0.534,45.7,47.7,51.2,55.4115853658537,92.523345389158,96.5842355798957,103.548550236008,112.09356446228
307,"PI 472629 LSP AGL","S","Yellow","Green","Green","Absent","Absent",0.106,1.15,0.367,0.345,0.406,NA,37.1,33.1,35.8556461001164,NA,100.982775742218,90.0680938648717,97.610651815199
308,"PI 477921 LSP AGL","L","Red/Yellow","Green","Green","Absent","Absent",0.28,1.87,0.597,0.581,0.621,51.7,53.2,53,57.910447761194,86.5958045512722,89.1793822106439,88.7377854507802,96.9843747396253
309,"PI 490288 LSP AGL","M","Yellow","Dark Green","Dark Green","Marbled","Pattern",0.145,1.34,0.428,0.404,0.464,26.6,29.5,27.4,33.3926981300089,62.0913340925925,68.7781426840988,64.0383070228896,77.9393887889213
310,"PI 490289 LSP AGL","L","Yellow","Dark Green","Dark Green","Marbled","Pattern",0.206,1.61,0.512,0.489,0.541,41.8,39,44.8,48.5333333333333,81.7577984629116,76.3089381580139,87.6536196404268,94.8534201954397
311,"PI 508090 AGL","L","Yellow","Green","Green","Mottle1","Mottle",0.278,1.87,0.595,0.571,0.626,56,55.5,59,61.7441860465116,94.1820814648729,93.3854246555566,99.2980919418164,103.82990927104
312,"PI 518733 LSP AGL","M","Red","Green","Green_P","Mottle1","Mottle",0.178,1.5,0.476,0.452,0.517,34.5,28.6,27.4,35.9572400388727,72.448546302701,60.0917385649468,57.6310785630165,75.5051704036058
313,"PI 518734 LSP AGL","M","Red","Green","Green_P","Mottle1","Absent",0.143,1.34,0.426,0.4,0.465,26.2,27.8,25.4,31.6514522821577,61.4882506527414,65.3966601073482,59.6733409658103,74.3767808196916
314,"PI 533688 LSP AGL","M","Yellow","Green","Green","Absent","Absent",0.158,1.41,0.449,0.432,0.475,61.3,60.2,66.4,69.9277108433735,136.605473805301,134.143080438984,148.093115403665,155.856710646449
315,"PI 533693 LSP AGL","M","Yellow","Dark Green","Dark Green","Marbled","Pattern",0.173,1.47,0.47,0.444,0.506,27.6,32.5,28.5,33.2950631458094,58.7223070675151,69.2775197394633,60.5933307454654,70.9076120000673
316,"PI 612875 AGL","S","Red","Grey","Grey_R","Dotted","Pattern",0.105,1.15,0.365,0.344,0.401,24.8,29,28.6,29.7913188647746,67.9753330508874,79.5236102773078,78.4595440395683,81.620051684314
317,"PI 643451 AGL","S","Red","Grey","Grey_R","Dotted;Marbled","Pattern",0.108,1.16,0.369,0.35,0.413,29.9,30.3,26,28.7254901960784,81.0931857508276,82.0102317183269,70.321912519558,77.800003540387
318,"PI 643452 AGL","M","Red","Grey","Grey_R","Dotted;Marbled","Pattern",0.141,1.33,0.422,0.407,0.452,31.3,27,25.2,28.5586392121755,74.1125285033676,63.8685885607614,59.646468021973,67.6210873216468
319,"Shasta AGL","L","Yellow","Green","Green","Absent","Absent",0.238,1.73,0.551,0.534,0.574,46.1,50,73.1,56.927374301676,83.7354371158609,90.8859051463168,132.772040878923,103.399872596384
320,"W6 27754 LSP AGL","M","Yellow","Green","Green","Absent","Absent",0.175,1.48,0.472,0.457,0.497,33.2,33.6,32.3,39.4712853236098,70.4048892284187,71.1478862644802,68.3812010443865,83.5862512735268
321,"W6 27760 LSP AGL","M","Red","Brown","Brown","Absent","Absent",0.154,1.39,0.443,0.415,0.492,34.7,34.8,32.7,37.0200573065903,78.2812718053681,78.5844801004967,73.7994713898328,83.6296475299478
322,"W6 27763 LSP AGL","M","Red","Tan","Tan","Absent","Absent",0.132,1.29,0.41,0.389,0.453,24.5,34.2,29.6,34.2127659574468,59.6937115393113,83.4854501165241,72.2202344882643,83.4231627247416
323,"W6 27766 LSP AGL","M","Red","Grey","Grey","Dotted","Pattern",0.147,1.36,0.433,0.414,0.468,31.8,36.9,30.1,36.4832793959008,73.4699071728366,85.2435863995072,69.6493388967603,84.343569114592
324,"W6 27767 LSP AGL","S","Red","Grey","Grey","Dotted","Pattern",0.117,1.21,0.385,0.367,0.425,29,32.2,31.1,35.9785522788204,75.2197430696417,83.6333580824567,80.8262236192187,93.3699453602606
