"Entry","Name","Size","CotyledonColor","TestaColor","TestaSubColor","TestaPattern","BlackTesta","area","perimeter","diameter","minor.axis","major.axis","SeedMass1000.2015","SeedMass1000.2016","SeedMass1000.2017","SeedMass1000.2018","Plumpness_2015","Plumpness_2016","Plumpness_2017","Plumpness_2018"
24,"CDC Sedley AGL","XL","Yellow","Green","Green","Absent","Absent",0.315,1.99,0.634,0.617,0.657,70.7,55.1,66.5,61.4509803921569,111.53607321829,86.9542346133613,104.984887525745,96.9768233437509
25,"CDC Vantage AGL","L","Yellow","Green","Green","Absent","Absent",0.223,1.67,0.533,0.515,0.559,40.4,40.9,39.9,51.8292682926829,75.9297916458653,76.8596884719761,74.9227327231053,97.3015049299429
26,"CN 105604 AGL",NA,"Red","Black","Black","Dotted","Present",0.145,1.35,0.43,NA,NA,20.7,24.2,20.2,24.6412213740458,NA,NA,NA,NA
27,"CN 105605 AGL","M","Red/Yellow","Grey","Grey","Mottle0","Mottle",0.128,1.26,0.403,0.376,0.456,27,26.8,26.3,29.9409282700422,67.0434702692767,66.3771712158809,65.2997257411519,74.2951073698317
28,"CN 105715 AGL","L","Red/Yellow","Green","Green_P","Mottle1","Mottle",0.232,1.7,0.543,0.521,0.574,40.4,46,40,51.5051546391753,74.3826108789612,84.7665847665847,73.6631445459968,94.9112186225588
29,"CN 105732 AGL","M","Yellow","Green","Green","Mottle1","Mottle",0.194,1.56,0.496,0.483,0.52,42.7,36.2,42.8,48.7692307692308,86.0185378795639,72.9037696583336,86.156578795091,98.2810293155121
30,"CN 105767 AGL","M","Red/Yellow","Grey","Grey","Mottle0","Mottle",0.132,1.29,0.41,0.389,0.444,29.1,26.9,26.1,31.4285714285714,71.0993852689729,65.6453362255965,63.6934951241564,76.6966222497675
31,"CN 105777 AGL","S","Red","Brown","Brown","Absent","Absent",0.118,1.21,0.387,0.37,0.421,23.4,25.7,25.3,29.9417249417249,60.5869817900038,66.4655172413792,65.5511179260421,77.4354955389438
32,"CN 105789 AGL","M","Red","Brown","Brown","Dotted;Spotted","Pattern",0.13,1.27,0.405,0.387,0.439,28.6,29.9,29.8,30.0630914826498,70.4694045335318,73.7612851678446,73.4085282665443,74.1484854326799
33,"CN 105791 AGL","M","Red","Grey","Grey","Absent","Absent",0.15,1.37,0.438,0.42,0.478,28.8,29.1,23.1,26.2178919397697,65.7165621029299,66.5058405281868,52.765332220201,59.9190013859642
34,"CN 105862 AGL","XL","Yellow","Green","Green","Mottle1","Mottle",0.313,1.98,0.631,0.602,0.672,44,38.8,41.6,61.8466353677621,69.7783388696387,61.4104595879556,65.9320745062645,98.0136852103996
35,"CN 105863 AGL","XL","Yellow","Green","Green","Mottle1","Mottle",0.357,2.12,0.674,0.646,0.711,55.7,66.6,64.1,70.8151093439364,82.6438673003233,98.8675510909039,95.1780167165919,105.118915404161
36,"CN 105864 AGL","M","Yellow","Grey","Grey_Y","Mottle0","Mottle",0.154,1.39,0.442,0.415,0.493,35.4,35.8,31.3,49.3836477987421,80.0477147162231,80.8117661552459,70.7125179013383,111.615477194545
37,"CN 105865 AGL","L","Yellow","Green","Green","Mottle1","Mottle",0.269,1.83,0.584,0.563,0.612,66.7,70.8,54.7,66.7554479418886,114.213338688752,121.180017928449,93.6949098194098,114.242067213728
38,"CN 105895 AGL","S","Red","Brown","Brown","Dotted;Spotted","Pattern",0.123,1.24,0.396,0.376,0.43,26.2,32.2,34.1,33.8837516512549,66.2193447386052,81.5080033698399,86.2262601962269,85.6371145356064
39,"CN 106265 AGL","M","Red/Yellow","Grey","Grey","Mottle1","Absent",0.151,1.38,0.438,0.422,0.472,27.8,35.1,32.3,40.272952853598,63.5244861710226,80.27150469424,73.7944500799891,91.9707119214367
40,"CN 108369 AGL","L","Yellow","Green","Green","Mottle1","Mottle",0.235,1.72,0.547,0.526,0.574,52.1,50.6,56.2,68.6832061068702,95.3357781893445,92.5730783649245,102.814854372172,125.665552950159
41,"CN 108370 AGL","S","Yellow","Green","Green","Mottle1","Mottle",0.112,1.19,0.377,0.363,0.403,21.2,19.8,22,26.1040235525025,56.1729973892104,52.4580512216662,58.243673128287,69.1599093236745
42,"Crimson AGL","M","Red","Brown","Brown","Mottle1","Mottle",0.153,1.38,0.441,0.415,0.484,29.1,34.2,32.4,40.5511811023622,66.0740364203022,77.5054486595754,73.558161243561,91.9991504717065
43,"DPL 62 AGL","L","Red","Grey","Grey_Y","Dotted;Marbled","Pattern",0.2,1.58,0.504,0.475,0.541,39.2,42.3,39.7,44.3809523809524,77.9048879644511,83.999389095352,78.9151539020597,88.1157227947432
44,"Eston AGL","M","Yellow","Green","Green","Mottle1","Mottle",0.163,1.43,0.455,0.432,0.487,28.5,31,33.1,37.6361031518625,62.6181229101331,68.1569978101487,72.7066852504378,82.7369145986229
45,"Gudo AGL","M","Yellow","Green","Green","Absent","Absent",0.187,1.53,0.488,0.469,0.518,37.2,34.1,40.3,49.0672782874618,76.2453275068792,69.9954452288772,82.5060951854682,100.570599997075
46,"IG 1046 AGL","M","Yellow","Green","Green","Absent","Mottle",0.146,1.35,0.431,0.414,0.461,22.7,29.5,29.4,36.6314398943197,52.5913792468804,68.3047949216463,68.2340340113409,84.947941007183
47,"IG 1706 AGL","S","Red","Grey","Grey_R","Absent","Mottle",0.107,1.16,0.368,0.35,0.413,20.6,22.2,19.5,24.6751863684771,55.9814517033769,60.2571569374132,53.0426241123332,66.9914562040103
